ソフトウェアやデータに瑕疵(かし)がある場合に，製造物責任法の対象となるものはどれか,1,ROM化したソフトウェアを内蔵した組込み機器,アプリケーションソフトウェアパッケージ,利用者がPCにインストールしたOS,利用者によってネットワークからダウンロードされたデータ,令和元年秋期 午前問80
シュリンクラップ契約において，ソフトウェアの使用許諾契約が成立するのはどの時点か,3,購入したソフトウェアの代金を支払った時点,ソフトウェアの入ったDVD-ROMを受け取った時点,ソフトウェアの入ったDVD-ROMの包装を解いた時点,ソフトウェアをPCにインストールした時点,令和元年秋期 午前問79
売上高が100百万円のとき，変動費が60百万円，固定費が30百万円掛かる。変動費率，固定費は変わらないものとして，目標利益18百万円を達成するのに必要な売上高は何百万円か。,2,108,120,156,180,令和元年秋期 午前問78
ROIを説明したものはどれか。,3,一定期間におけるキャッシュフロー(インフロー，アウトフロー含む)に対して，現在価値でのキャッシュフローの合計値を求めるものである。,一定期間におけるキャッシュフロー(インフロー，アウトフロー含む)に対して，合計値がゼロとなるような，割引率を求めるものである。,投資額に見合うリターンが得られるかどうかを，利益額を分子に，投資額を分母にして算出するものである。,投資による実現効果によって，投資額をどれだけの期間で回収可能かを定量的に算定するものである。,令和元年秋期 午前問77
CIOの果たすべき役割はどれか。,3,各部門の代表として，自部門のシステム化案を情報システム部門に提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,令和元年秋期 午前問75
BCP(事業継続計画)の策定，運用に関する記述として，適切なものはどれか。,4,ITに依存する業務の復旧は，技術的に容易であることを基準に優先付けする。,計画の内容は，経営戦略上の重要事項となるので，上級管理者だけに周知する。,計画の内容は，自社組織が行う範囲に限定する。,自然災害に加え，情報システムの機器故障やマルウェア感染も検討範囲に含める。,令和元年秋期 午前問74
生産現場における機械学習の活用事例として，適切なものはどれか。,3,工場における不良品の発生原因をツリー状に分解して整理し，アナリストが統計的にその原因や解決策を探る。,工場の生産設備を高速通信で接続し，ホストコンピュータがリアルタイムで制御できるようにする。,工場の生産ロボットに対して作業方法をプログラミングするのではなく，ロボット自らが学んで作業の効率を高める。,累積生産量が倍増するたびに工場従業員の生産性が向上し，一定の比率で単位コストが減少する。,令和元年秋期 午前問73
インターネットを活用した仕組みのうち，クラウドファンディングを説明したものはどれか。,1,Webサイトに公表されたプロジェクトの事業計画に協賛して，そのリターンとなる製品や権利の入手を期待する不特定多数の個人から小口資金を調達すること,Webサイトの閲覧者が掲載広告からリンク先のECサイトで商品を購入した場合，広告主からそのWebサイト運営者に成果報酬を支払うこと,企業などが，委託したい業務内容を，Webサイトで不特定多数の人に告知して募集し，適任と判断した人々に当該業務を発注すること,複数のアカウント情報をあらかじめ登録しておくことによって，一度の認証で複数の金融機関の口座取引情報を一括して表示する個人向けWebサービスのこと,令和元年秋期 午前問72
ブロックチェーンによって実現されている仮想通貨マイニングの説明はどれか。,1,仮想通貨取引の確認や記録の計算作業に参加し，報酬として仮想通貨を得る。,仮想通貨を売買することによってキャピタルゲインを得る。,個人や組織に対して，仮想通貨による送金を行う。,実店舗などで仮想通貨を使った支払や決済を行う。,令和元年秋期 午前問71
"かんばん方式"を説明したものはどれか。,3,各作業の効率を向上させるために，仕様が統一された部品，半製品を調達する。,効率よく部品調達を行うために，関連会社から部品を調達する。,中間在庫を極力減らすために，生産ラインにおいて，後工程の生産に必要な部品だけを前工程から調達する。,より品質が高い部品を調達するために，部品の納入指定業者を複数定め，競争入札で部品を調達する。,令和元年秋期 午前問70
ディジタルディバイドを説明したものはどれか。,4,PCなどの情報通信機器の利用方法が分からなかったり，情報通信機器を所有していなかったりして，情報の入手が困難な人々のことである。,高齢者や障害者の情報通信の利用面での困難が，社会的又は経済的な格差につながらないように，誰もが情報通信を利活用できるように整備された環境のことである。,情報通信機器やソフトウェア，情報サービスなどを，高齢者・障害者を含む全ての人が利用可能であるか，利用しやすくなっているかの度合いのことである。,情報リテラシの有無やITの利用環境の相違などによって生じる，社会的又は経済的な格差のことである。,令和元年秋期 午前問69
