他人のIDとパスワードを使って，インターネットでオンラインショップのWebサーバに侵入し，会員情報を窃取しようとした。この行為を違法とする法律はどれか。,3,刑法,電気通信事業法,不正アクセス禁止法,プロバイダ責任制限法,平成21年秋期 午前問79
プログラム中のアイディアやアルゴリズムは保護しないが，プログラムのコード化された表現を保護する法律はどれか。,3,意匠法,商標法,著作権法,特許法,平成21年秋期 午前問78
減価償却の方法として認められているものはどれか。,3,移動平均法,最終取得原価法,定率法,持分法,平成21年秋期 午前問77
CIOの果たすべき役割はどれか。,3,各部門の代表として，自部門のシステム化案を情報システム部門へ提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,平成21年秋期 午前問75
電子商取引に使用される，企業間でデータ交換を行う仕組みはどれか。,2,CA,EDI,SSL,XBRL,平成21年秋期 午前問74
WTO加盟国の政府関係機関での採用が見込まれる製品の開発に際して，どの規格を採用すべきか。,3,ANSI規格,IEEE規格,ISO規格,JIS規格,平成21年秋期 午前問71
CRMを説明したものはどれか。,3,卸売業者・メーカが，小売店の経営活動を支援してその売上と利益を伸ばすことによって，自社との取引拡大につなげる方法である。,企業全体の経営資源を有効かつ総合的に計画して管理し，経営の高効率化を図るための手法である。,企業内のすべての顧客チャネルで情報を共有し，サービスのレベルを引き上げて顧客満足度を高め，顧客ロイヤルティの最適化に結び付ける考え方である。,生産，在庫，購買，販売，物流などのすべての情報をリアルタイムに交換することによって，サプライチェーン全体の効率を大幅に向上させる経営手法である。,平成21年秋期 午前問70
システム開発を外部に発注する場合，受託側が瑕疵(かし)担保責任を負うものはどれか。,2,委任契約,請負契約,パート契約,派遣契約,平成21年秋期 午前問68
共通フレーム2007によれば，非機能要件に該当するものはどれか。,4,新しい業務の在り方をまとめた上で，業務上実現すべき要件,業務の手順や入出力情報，ルールや制約などの要件,業務要件を実現するために必要なシステムの機能に関する要件,ソフトウェアの信頼性，効率性など品質に関する要件,平成21年秋期 午前問67
"システム管理基準"において，情報システムの費用，スケジュール，開発体制，投資効果などを明確にする計画はどれか。,2,移行計画,開発計画,全体最適化計画,年間運用計画,平成21年秋期 午前問66
共通フレーム2007によれば，企画プロセスで実施すべきものはどれか。,3,新しい業務の在り方を整理し，業務プロセスや業務ルールを明確にする。,新しく開発されるシステムヘの移行時期及び移行手順を明確にする。,業務の新しい全体像及び新システムの全体イメージを作成する。,ソフトウェアユニットのテスト要求事項及び予定を定義する。,平成21年秋期 午前問65
SOAを説明したものはどれか。,2,異機種間のデータ通信を実現するために，通信サービスを七つの階層に分割し，各層ごとに標準的なプロトコルや通信サービスの仕様を定めるという考え方である。,業務上の一処理に相当するソフトウェアの機能をサービスとして実装し，それらのサービスを組み合わせてシステム全体を構築するという考え方である。,サービスレベル合意書に基づき，顧客要件を満たすITサービスの提供を実現し，その品質の継続的な改善に必要なプロセスを構築するという考え方である。,ソフトウェアをネットワーク内のサーバに置き，ユーザが必要とする機能だけをサービスとしてネットワークを経由して提供するという考え方である。,平成21年秋期 午前問64
ASPとは，どのようなサービスを提供する事業者か。,4,顧客のサーバや通信機器を設置するために，事業者が所有する高速回線や耐震設備が整った施設を提供するサービス,顧客の組織内部で行われていた総務，人事，経理，給与計算などの業務を外部の事業者が一括して請け負うサービス,事業者が所有するサーバの一部を顧客に貸し出し，顧客が自社のサーバとして利用するサービス,汎用的なアプリケーションシステムの機能をネットワーク経由で複数の顧客に提供するサービス,平成21年秋期 午前問63
BPRを説明したものはどれか。,2,企業全体の経営資源の配分を有効かつ総合的に計画して管理し，経営の効率向上を図ることである。,顧客視点から業務のプロセスを再設計し，情報技術を十分に活用して，企業の体質や構造を抜本的に変革することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,利益をもたらすことのできる，他社より優越した自社独自のスキルや技術に経営資源を集中することである。,平成21年秋期 午前問62
リスクが顕在化しても，その影響が小さいと想定されるので，損害の負担を受容するリスク対応はどれか。,4,リスク移転,リスク回避,リスク低減,リスク保有,平成21年秋期 午前問60
情報システムのセキュリティコントロールを予防，検知，復旧の三つに分けた場合，復旧に該当するものはどれか。,2,オペレータとプログラマの職務分離,コンティンジェンシープラン,パスワードの利用,メッセージ認証,平成21年秋期 午前問59
監査において発見した問題に対するシステム監査人の責任として，適切なものはどれか。,1,発見した問題を監査依頼者に報告する。,発見した問題をシステムの利用部門に通報する。,発見した問題を被監査部門に是正するよう命じる。,発見した問題を自ら是正する。,平成21年秋期 午前問58
情報システムを落雷によって発生する過電圧の被害から防ぐための手段として，有効なものはどれか。,1,サージ保護デバイス(SPD)を介して通信ケーブルとコンピュータを接続する。,自家発電装置を設置する。,通信線を経路の異なる2系統とする。,電源設備の制御回路をディジタル化する。,平成21年秋期 午前問57
クライアント管理ツールに備わっている機能のうち，業務に無関係なソフトウェアがインストールされていることを検出するのに最も有効なものはどれか。,1,インベントリ収集,遠隔操作,稼働管理機能,ソフトウェア配信,平成21年秋期 午前問55
システム開発における品質管理に関する記述のうち，適切なものはどれか。,3,幾つかのサブシステムに分割して開発するとき，サブシステム単位での品質が保証できれば，同時にシステム全体としての品質も保証できる。,応答時間やバッチ処理時間などの性能は品質管理の対象外であるが，業務に与える影響が大きいので限界性能を計測しておく。,システムヘの要求機能の充足度だけでなく， ドキュメントなどすべての成果物を含めて品質管理の対象とする。,市販製品と自社開発プログラムを組み合わせてシステムを開発する場合，品質管理の対象は自社開発のプログラムだけとなる。,平成21年秋期 午前問54
入力，出力などを基に複雑さを加味してシステム規模を見積もる方法であり，開発工数の見積りにも使われるものはどれか。,3,COCOMO,標準タスク法,ファンクションポイント法,プットナム(Putnum)モデル,平成21年秋期 午前問53
あるシステムを開発するための工数を見積もったところ150人月であった。現在までの投入工数は60人月で，出来高は全体の3割であり，進捗に遅れが生じている。今後も同じ生産性が続くと想定したとき，このシステムの開発を完了させるためには何人月の工数が超過するか。,1,50,90,105,140,平成21年秋期 午前問52
ソフトウェア開発において，構成管理に起因しない問題はどれか。,2,開発者がバグを定められた手続に従わずに修正したので，今まで動作していたプログラムが，突然に不正な動作をする。,システムテストにおいて，単体テストレベルのバグが多発して，開発が予定どおり進捗しない。,仕様書，設計書及びプログラムのそれぞれが一致していないので，プログラム修正時にソースプログラムを解析しないと，修正すべきプログラムが特定できない。,ーつのプログラムから多数の派生プログラムが作られているが，派生元のバグ修正がすべての派生プログラムに反映されない。,平成21年秋期 午前問50
システム適格性確認テストを実施するとき，用意しておくべきテストデータはどれか。,1,実際に業務で使うデータや，業務上例外として処理されるデータ,ソフトウェアユニット間のインタフェースに関するエラーを検出するデータ,ソフトウェアユニット内の全分岐を1回以上通るデータ,ソフトウェアユニット内の全命令が1回以上実行されるデータ,平成21年秋期 午前問48
開発プロセスにおける，ソフトウェア方式設計で行うべき作業はどれか。,2,顧客に意見を求めて仕様を決定する。,既に決定しているソフトウェア要件を，どのように実現させるかを決める。,プログラム1行ごとの処理まで明確になるように詳細化する。,要求内容を図表などの形式でまとめ，段階的に詳細化して分析する。,平成21年秋期 午前問47
オブジェクト指向でシステムを開発する場合のカプセル化の効果はどれか。,1,オブジェクトの内部データ構造やメソッドの実装を変更しても，ほかのオブジェクトがその影響を受けにくい。,既存の型に加えてユーザ定義型を追加できるので，問題領域に合わせてプログラムの仕様を拡張できる。,子クラスとして派生するので，親クラスの属性を子クラスが利用できる。,同一メッセージを送っても，受け手のオブジェクトによって，それぞれが異なる動作をするので，メッセージを受け取るオブジェクトの種類が増えても，メッセージを送るオブジェクトには影響がない。,平成21年秋期 午前問46
UML2.0で定義している図のうち，動的な振る舞いを表現するものはどれか。,3,オブジェクト図,クラス図,シーケンス図,パッケージ図,平成21年秋期 午前問45
利用者情報を管理するデータベース(利用者データベース)がある。利用者データベースを検索し，検索結果を表示するアプリケーションに与えるデータベースのアクセス権限として，セキュリティ管理上適切なものはどれか。ここで，権限の範囲は次のとおりとする。     〔権限の範囲〕     参照権限：利用者データベースのレコードの参照が可能     更新権限：利用者データベースへのレコードの登録，変更，削除が可能     管理者権限：利用者データベースのテーブルの参照，登録，変更，削除が可能,3,管理者権限,更新権限,参照権限,参照権限と更新権限,平成21年秋期 午前問43
PCからサーバに対し，IPv6を利用した通信を行う場合，ネットワーク層で暗号化を行うのに利用するものはどれか。,1,IPsec,PPP,SSH,SSL,平成21年秋期 午前問41
無線LANやVPN接続などで利用され，利用者を認証するためのシステムはどれか。,4,DES,DNS,IDS,RADIUS,平成21年秋期 午前問40
IPアドレス 10.1.2.146，サブネットマスク 255.255.255.240 のホストが属するサブネットワークはどれか。,4,10.1.2.132/26,10.1.2.132/28,10.1.2.144/26,10.1.2.144/28,平成21年秋期 午前問39
インターネットにおける電子メールの規約で，ヘッダフィールドの拡張を行い，テキストだけでなく，音声，画像なども扱えるようにしたものはどれか。,3,HTML,MHS,MIME,SMTP,平成21年秋期 午前問38
LAN同士を接続する装置に関する記述のうち，ルータについて述べたものはどれか。,2,データリンク層で接続する装置,ネットワーク層で接続する装置,ネットワーク層よりも上位の層で接続する装置,物理層で接続する装置,平成21年秋期 午前問37
