派遣契約に基づいて就労している派遣社員に対する派遣先企業の対応のうち，適切なものはどれか。ここで，就業条件などに特段の取決めはないものとする。,2,営業情報システムのメンテナンスを担当させている派遣社員から，直接に有給休暇の申請があり，業務に差し障りがないと判断して，承認した。,グループウェアのメンテナンスを行うために，自社社員と同様に作業を直接指示した。,生産管理システムへのデータ入力を指示したところ，入力ミスによって，欠陥製品ができたので，派遣元企業に対して製造物責任を追及した。,販売管理システムのデータ処理が定時に終了しなかったので，自社社員と同様の残業を行うよう指示した。,平成23年秋期 午前問80
著作権法において，保護の対象とならないものはどれか。,4,インターネットで公開されたフリーソフトウェア,ソフトウェアの操作マニュアル,データベース,プログラム言語や規約,平成23年秋期 午前問79
財務諸表のうち，一定時点における企業の資産，負債及び純資産を表示し，企業の財政状態を明らかにするものはどれか。,4,株主資本等変動計算書,キャッシュフロー計算書,損益計算書,貸借対照表,平成23年秋期 午前問78
売上高が100百万円のとき，変動費が60百万円，固定費が30百万円掛かる。変動費率，固定費は変わらないものとして，目標利益18百万円を達成するのに必要な売上高は何百万円か。,2,108,120,156,180,平成23年秋期 午前問77
事業年度初日の平成21年4月1日に，事務所用のエアコンを100万円で購入した。平成23年3月31日現在の帳簿価額は何円か。ここで，耐用年数は6年，減価償却は定額法，定額法の償却率は0.167，残存価額は0円とする。,3,332000,499000,666000,833000,平成23年秋期 午前問76
CIOの説明はどれか。,1,情報管理，情報システムの統括を含む戦略立案と執行を任務として設置した役員,投資意思決定，資金調達，経理，財務報告を任務として設置した役員,複数のプロジェクトを一元的にマネジメントすることを任務として設置した組織,要求されたシステム変更を承認又は却下することを任務として設置した組織,平成23年秋期 午前問75
MRP(Material Requirements Planning)システムを導入すると改善が期待できる場面はどれか。,2,図面情報が電子ファイルと紙媒体の両方で管理されていて，設計変更履歴が正しく把握できない。,製造に必要な資材及びその必要量に関する情報が複雑で，発注量の算出を誤りやすく，生産に支障を来している。,設計変更が多くて，生産効率が上がらない。,多品種少量生産を行っているので，生産設備の導入費用が増加している。,平成23年秋期 午前問74
技術経営におけるプロダクトイノベーションの説明として，適切なものはどれか。,1,新たな商品や他社との差別化ができる商品を開発すること,技術開発の成果によって事業利益を獲得すること,技術を核とするビジネスを戦略的にマネジメントすること,業務プロセスにおいて革新的な改革をすること,平成23年秋期 午前問71
マーケティングミックスの説明はどれか。,3,マーケティングミックスの説明はどれか。,市場の成長率と自社の相対的市場シェアの組合せから，各事業の位置づけを明確にし，それぞれの事業の今後の施策を検討すること,製品戦略，価格戦略，チャネル戦略，プロモーション戦略などを適切に組み合わせて，自社製品を効果的に販売していくこと,導入期，成長期，成熟期，衰退期のそれぞれにおいて，市場や競合商品などとの関係を意識した，適切な施策を採っていくこと,平成23年秋期 午前問69
企業経営で用いられるベンチマーキングを説明したものはどれか。,3,企業全体の経営資源の配分を有効かつ総合的に計画して管理し，経営の効率向上を図ることである。,顧客視点から業務のプロセスを再設計し，情報技術を十分に活用して，企業の体質や構造を抜本的に変革することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,利益をもたらすことのできる，他社より優越した自社独自のスキルや技術に経営資源を集中することである。,平成23年秋期 午前問68
