派遣元会社A社と派遣先会社B社が派遣契約を結び，A社は社員であるN氏を派遣した。労働者派遣法に照らして適切な行為はどれか。,3,B社の繁忙期とN氏の休暇申請が重なったので，B社から直接N氏に休暇の変更を指示した。,N氏からの作業環境に関する苦情に対し，B社は雇用関係にないので，対応はA社だけで行った。,N氏は派遣期間中の仕事に関する指示を，B社の担当者から直接受けることにした。,派遣期間中にN氏の作業時間が空いたので，B社は派遣取決め以外の作業を依頼した。,平成24年秋期 午前問80
著作権法で保護されるものはどれか。,2,アルゴリズム,コンパイラのプログラム,プログラム言語,プロトコル,平成24年秋期 午前問79
親和図法を説明したものはどれか。,2,事態の進展とともに様々な事象が想定される問題について，対応策を検討し望ましい結果に至るプロセスを定める方法である。,収集した情報を相互の関連によってグループ化し，解決すべき問題点を明確にする方法である。,複雑な要因の絡み合う事象について，その事象間の因果関係を明らかにする方法である。,目的・目標を達成するための手段・方策を順次展開し，最適な手段・方策を追求していく方法である。,平成24年秋期 午前問78
裁量労働制の説明はどれか。,3,企業が継続雇用の前提として，従業員に対して他社でも適用する技術・能力の維持責任を求める一方，企業も従業員の能力開発を積極的に支援する。,従業員1人当たりの労働時間を短縮したり仕事の配分方法を見直したりするなど，労働者間で労働を分かち合うことで雇用の維持・創出を図る。,特定の専門業務や企画業務において，労働時間は，実際の労働時間に関係なく，労使間であらかじめ取り決めた労働時間とみなす。,能力主義と実績主義の徹底，経営参加意識の醸成，業績向上へのインセンティブなどを目的に，職務と能力，業績を基準に報酬を決める。,平成24年秋期 午前問75
インターネットショッピングで売上の全体に対して，あまり売れない商品の売上合計の占める割合が無視できない割合になっていることを指すものはどれか。,4,アフィリエイト,オプトイン,ドロップシッピング,ロングテール,平成24年秋期 午前問74
セル生産方式の利点が生かせる対象はどれか。,3,生産性を上げるために，大量生産が必要なもの,製品の仕様が長期間変わらないもの,多種類かつフレキシブルな生産が求められるもの,標準化，単純化，専門化による分業が必要なもの,平成24年秋期 午前問73
ディジタルディバイドを説明したものはどれか。,4,PCなどの情報通信機器の利用方法が分からなかったり，情報通信機器を所有していなかったりして，情報の入手が困難な人々のことである。,高齢者や障害者の情報通信の利用面での困難が，社会的・経済的格差につながらないように，誰もが情報通信を利活用できるように整備された環境のことである。,情報通信機器やソフトウェア，情報サービスなどを，高齢者・障害者を含むすべての人が利用可能であるか，利用しやすくなっているかの度合いのことである。,情報リテラシの有無やITの利用環境の相違などによって生じる，社会的又は経済的格差のことである。,平成24年秋期 午前問72
ナレッジマネジメントを説明したものはどれか。,1,企業内に散在している知識を共有化し，全体の問題解決力を高める経営を行う。,迅速な意思決定のために，組織の階層をできるだけ少なくした平型の組織構造によって経営を行う。,優れた業績を上げている企業との比較分析から，自社の経営革新を行う。,他社にはまねのできない，企業独自のノウハウや技術などの強みを核とした経営を行う。,平成24年秋期 午前問71
CRMの目的はどれか。,1,顧客ロイヤルティの獲得と顧客生涯価値の最大化,在庫不足による販売機会損失の削減,製造に必要な資材の発注量と発注時期の決定,販売時点での商品ごとの販売情報の把握,平成24年秋期 午前問70
プロダクトライフサイクルにおける成長期の特徴はどれか。,1,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成24年秋期 午前問69
コストプラス法による価格設定方法を表すものはどれか。,4,価格分析によって，利益最大，リスク最小を考慮し，段階的に価格を決める。,顧客に対する値引きを前提にし，当初からマージンを加えて価格を決める。,市場で競争可能と推定できるレベルで価格を決める。,製造原価，営業費を基準にし，希望マージンを織り込んで価格を決める。,平成24年秋期 午前問68
