準委任契約の説明はどれか。,3,成果物の対価として報酬を得る契約,成果物を完成させる義務を負う契約,善管注意義務を負って作業を受託する契約,発注者の指揮命令下で作業を行う契約,平成26年秋期 午前問80
著作権法によるソフトウェアの保護範囲に関する記述のうち，適切なものはどれか。,4,アプリケーションプログラムは著作権法によって保護されるが，OSなどの基本プログラムは権利の対価がハードウェアの料金に含まれるので，保護されない。,アルゴリズムやプログラム言語は，著作権法によって保護される。,アルゴリズムを記述した文書は著作権法で保護されるが，プログラムは保護されない。,ソースプログラムとオブジェクトプログラムの両方とも著作権法によって保護される。,平成26年秋期 午前問79
ワークシェアリングの説明はどれか。,3,仕事と生活の調和を実現する目的で多様かつ柔軟な働き方を目指す考え方,従業員が職場や職務を選択することができる制度,従業員1人当たりの勤務時間短縮，仕事配分の見直しによる雇用確保の取組み,福利厚生サービスを一定の範囲内で従業員が選択できる方式,平成26年秋期 午前問75
CADを説明したものはどれか。,3,コンピュータを使用して，現物を利用した試作や実験を行わずに，製品の性能・機能を評価する。,コンピュータを使用して，生産計画，部品構成表及び在庫量などから，資材の必要量と時期を求める。,コンピュータを使用して，製品の形状や構造などの属性データから，製品設計図面を作成する。,コンピュータを使用して製品設計図面を工程設計情報に変換し，機械加工などの自動化を支援する。,平成26年秋期 午前問73
コンカレントエンジニアリングの説明として，適切なものはどれか。,2,機能とコストとの最適な組合せを把握し，システム化された手順によって価値の向上を図る手法,製品開発において，設計，生産計画などの工程を同時並行的に行う手法,設計，製造，販売などのプロセスを順に行っていく製品開発の手法,対象のシステムを解析し，その仕様を明らかにする手法,平成26年秋期 午前問72
バランススコアカードで使われる戦略マップの説明はどれか。,2,切り口となる二つの要素をX軸，Y軸として，市場における自社又は自社製品のポジションを表現したもの,財務，顧客，内部ビジネスプロセス，学習と成長の四つの視点ごとの課題，施策，目標の間の因果関係を表現したもの,市場の魅力度，自社の優位性の二つの軸から成る四つのセルに自社の製品や事業を分類して表現したもの,どのような顧客層に対して，どのような経営資源を使用し，どのような製品・サービスを提供するのかを表現したもの,平成26年秋期 午前問71
プロダクトライフサイクルにおける導入期を説明したものはどれか。,4,売上が急激に増加する時期である。市場が活性化し新規参入企業によって競争が激化してくる。,売上と利益が徐々に減少する時期である。追加投資を控えて市場から撤退することが検討される。,需要の伸びが鈍化してくる時期である。製品の品質改良などによって，シェアの維持，利益の確保が行われる。,先進的な消費者に対し製品を販売する時期である。製品の認知度を高める戦略が採られる。,平成26年秋期 午前問70
企業の事業活動を機能ごとに主活動と支援活動に分け，企業が顧客に提供する製品やサービスの利益は，どの活動で生み出されているかを分析する手法はどれか。,3,3C分析,SWOT分析,バリューチェーン分析,ファイブフォース分析,平成26年秋期 午前問69
コアコンピタンスを説明したものはどれか。,4,経営活動における基本精神や行動指針,事業戦略の遂行によって達成すべき到達目標,自社を取り巻く環境に関するビジネス上の機会と脅威,他社との差別化の源泉となる経営資源,平成26年秋期 午前問68
CSR調達に該当するものはどれか。,3,コストを最小化するために，最も安価な製品を選ぶ。,災害時に調達が不可能となる事態を避けるために，調達先を複数化する。,自然環境，人権などへの配慮を調達基準として示し，調達先に遵守を求める。,物品の購買に当たってEDIを利用し，迅速・正確な調達を行う。,平成26年秋期 午前問67
共通フレームによれば，要件定義プロセスの活動内容には，利害関係者の識別，要件の識別，要件の評価，要件の合意などがある。このうち，要件の識別において実施する作業はどれか。,4,システムのライフサイクルの全期間を通して，どの工程でどの関係者が参画するのかを明確にする。,抽出された要件を確認して，矛盾点や暖味な点をなくし，一貫性がある要件の集合として整理する。,矛盾した要件，実現不可能な要件などの問題点に対する解決方法を利害関係者に説明し，合意を得る。,利害関係者から要件を漏れなく引き出し，制約条件や運用シナリオなどを明らかにする。,平成26年秋期 午前問66
