訪問販売，通信販売，電話勧誘販売などを対象に，消費者を守るためのクーリングオフなどのルールを定めている法律はどれか。,3,商法,電子消費者契約法,特定商取引法,不正競争防止法,平成29年秋期 午前問80
財務諸表のうち，一定時点における企業の資産，負債及び純資産を表示し，企業の財政状態を明らかにするものはどれか。,4,株主資本等変動計算書,キャッシュフロー計算書,損益計算書,貸借対照表,平成29年秋期 午前問77
OJTの特徴はどれか。,2,一般化された知識や技術に重点を置いた教育が受けられる。,上司や先輩が実務に密着して実践的に知識や技術を教育するので，必要な能力が習得できる。,上司や先輩の資質によらず，一定水準の業務知識が身に付けられる。,職場から離れて教育に専念できる。,平成29年秋期 午前問76
CIOが果たすべき主要な役割はどれか。,1,情報化戦略を立案するに当たって，経営戦略を支援するために，企業全体の情報資源への投資効果を最適化するプランを策定する。,情報システム開発・運用に関する状況を把握して，全社情報システムが最適に機能するように具体的に改善点を指示する。,情報システムが企業活動に対して健全に機能しているかどうかを監査することによって，情報システム部門にアドバイスを与える。,全社情報システムの最適な運営が行えるように，情報システムに関する問合せやトラブルに関する情報システム部門から報告を受け，担当部門に具体的指示を与える。,平成29年秋期 午前問75
車載機器の性能の向上に関する記述のうち，ディープラーニングを用いているものはどれか。,2,車の壁への衝突を加速度センサが検知し，エアバッグを膨らませて搭乗者をけがから守った。,システムが大量の画像を取得し処理することによって，歩行者と車をより確実に見分けることができるようになった。,自動でアイドリングストップする装置を搭載することによって，運転経験が豊富な運転者が運転する場合よりも燃費を向上させた。,ナビゲーションシステムが，携帯電話回線を通してソフトウェアのアップデートを行い，地図を更新した。,平成29年秋期 午前問74
HEMSの説明として，適切なものはどれか。,4,太陽光発電システム及び家庭用燃料電池が発電した電気を，家庭などで利用できるように変換するシステム,廃棄物の減量及び資源の有効利用推進のために，一般家庭及び事務所から排出された家電製品の有用な部分をリサイクルするシステム,ヒートポンプを利用して，より少ないエネルギーで大きな熱量を発生させる電気給湯システム,複数の家電製品をネットワークでつなぎ，電力の可視化及び電力消費の最適制御を行うシステム,平成29年秋期 午前問73
MRPの特徴はどれか。,4,顧客の注文を受けてから製品の生産を行う。,作業指示票を利用して作業指示，運搬指示をする。,作業指示票を利用して作業指示，運搬指示をする。,製品の基準生産計画を基に，部品の手配数量を算出する。,平成29年秋期 午前問72
コア技術の事例として，適切なものはどれか。,2,アライアンスを組んでインタフェースなどを策定し，共通で使うことを目的とした技術,競合他社がまねできないような，自動車エンジンのアイドリングストップ技術,競合他社と同じCPUコアを採用し，ソフトウェアの移植性を生かす技術,製品の早期開発，早期市場投入を目的として，汎用部品を組み合わせて開発する技術,平成29年秋期 午前問70
サプライチェーンマネジメントを説明したものはどれか。,1,購買，生産，販売及び物流を結ぶ一連の業務を，企業内，企業間で全体最適の視点から見直し，納期短縮や在庫削減を図る。,個人が持っているノウハウや経験などの知的資産を組織全体で共有して，創造的な仕事につなげていく。,社員のスキルや行動特性を把握し，人事戦略の視点から適切な人員配置・評価などのマネジメントを行う。,多様なチャネルを通して集められた顧客情報を一元化し，活用することによって，顧客との関係を密接にしていく。,平成29年秋期 午前問69
企業の競争戦略におけるリーダ戦略はどれか。,4,市場シェアを奪うことを目標に，製品，サービス，販売促進，流通チャネルなどのあらゆる面での差別化戦略を取る。,潜在的な需要がありながら，他の企業が参入してこないような専門特化した市場に，限られた経営資源を集中する。,目標とする企業の戦略を観察し，迅速に模倣することによって，開発や広告のコストを抑制し，市場での存続を図る。,利潤，好評判の維持・向上と最適市場シェアの確保を目標として，市場内の全ての顧客をターゲットにした全方位戦略を取る。,平成29年秋期 午前問68
SWOT分析において，一般に脅威として位置付けられるものはどれか。,3,競合他社に比べて高い生産効率,事業ドメインの高い成長率,市場への強力な企業の参入,低いマーケットシェア,平成29年秋期 午前問67
