“コンピュータ不正アクセス対策基準”に適合しているものはどれか。,4,監視効率を向上させるためにすべてのネットワークを相互接続する。,業務上必要な場合は，利用者 ID を個人間で共有して使用できる。,システム管理者が，すべての権限をもつ利用者 ID を常に使用できる。,組織のセキュリティ方針を文書化し，定期的に研修を開催する。,平成21年春期 午前問80
特許権を説明したものはどれか。,1,産業上利用することができる新規の発明を独占的・排他的に利用できる権利であり，所轄の官庁への出願及び審査に基づいて付与される権利,事業者が自己の商品を他人の商品と識別するために商品について使用する標識を，独占的・排他的に使用できる権利,新規の美術・工芸・工業製品などで，その形・色・模様・配置などについて加える装飾上の工夫を，独占的・排他的に使用できる権利,文芸，学術，美術又は音楽の範囲に属する著作物を，その著作者が独占的・排他的に支配して利益を受ける権利,平成21年春期 午前問79
著作権法において，保護の対象とならないものはどれか。,4,インターネットで公開されたフリーソフトウェア,ソフトウェアの操作マニュアル,データベース,プログラム言語や規約,平成21年春期 午前問78
M&Aの利点はどれか。,2,機能別に分業を行うことで，専門化による知識と経験の蓄積ができ，規模の経済を得ることができる。,自社にない技術やノウハウを獲得することによって，新規事業を短期間で実現することができる。,自律感による高い心理的エネルギーを活用でき，既存事業からの影響を最小限にすることができる。,製品別や市場別に事業を区分し，独立採算制とすることで，利益責任を明確にすることができる。,平成21年春期 午前問75
組込みシステムの用途として，適切でないものはどれか。,4,FA機器又は医療機器を制御するシステム,音響，映像機器を制御するシステム,銀行のATM端末システム,列車の座席予約を管理するホストシステム,平成21年春期 午前問74
デビットカードの決済方式はどれか。,4,後払い方式の決済を行う。,カード内で残高管理を行い，財布のように利用できる。,前払い方式の決済を行う。,利用金額を預金口座から即時に引き落とす。,平成21年春期 午前問73
ディジタルディバイドを説明したものはどれか。,1,PC や通信などを利用する能力や機会の違いによって，経済的，又は社会的な格差が生じること,インターネットなどを活用することによって，住民が直接，政府や自治体の政策に参画できること,国民のだれもが，地域の格差なく，妥当な料金で平等に利用できる通信及び放送サービスのこと,市民生活のイベント又は企業活動の分野ごとに，すべてのサービスを1か所で提供すること,平成21年春期 午前問72
TLO(Technology Licensing Organization)法に基づき，承認又は認定された事業者の役割として，適切なものはどれか。,3,企業からの委託研究，又は共同研究を受け入れる窓口として，企業と大学との調整を行う。,研究者からの応募に基づき，補助金を支給して先進的な研究を発展させる。,大学の研究成果を特許化し，又は企業への技術移転を支援し，産学の仲介役を果たす。,民間企業が保有する休眠特許を発掘し，他企業にライセンスして活用を図る。,平成21年春期 午前問71
プロダクトライフサイクルにおける成長期の特徴はどれか。,1,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成21年春期 午前問70
競争戦略において，ニッチ戦略の特徴はどれか。,3,市場での地位向上とトップシェア奪取を目標とした差別化戦略の展開を図る。,総市場規模を拡大することでシェアを維持しながら新規需要の獲得を図る。,他社が参入しにくい特定の市場に対して専門化し，高利益率を図る。,リーダの行動を観察し，迅速に模倣することで製品開発などのコスト削減を図る。,平成21年春期 午前問69
企業経営で用いられるベンチマーキングを説明したものはどれか。,3,企業全体の経営資源の配分を有効かつ総合的に計画して管理し，経営の効率向上を図ることである。,業務のプロセスを再設計し，情報技術を十分に活用して，企業の体質や構造を抜本的に変革することである。,最強の競合相手又は先進企業と比較して，製品，サービス及びオペレーションなどを定性的・定量的に把握することである。,利益をもたらすことのできる，他社より優越した自社独自のスキルや技術に経営資源を集中することである。,平成21年春期 午前問68
契約タイプで一括請負契約に属するものはどれか。,4,請け負った作業の履行に対するコストが償還され，更にプロジェクトのコスト見積りに対して一定比率の固定フィーを受け取る。,請け負った作業の履行に対するコストが償還され，事前に取り決めたフィーと，契約で定めたパフォーマンス目標レベルの達成度に応じたインセンティブを受け取る。,契約で合意した内容を実現するために，実施された労務に対する対価が支払われる。,契約で合意した内容を実現するために，指定された期日までに決められた価格で作成された成果物に対して対価が支払われる。,平成21年春期 午前問67
共通フレーム2007によれば，企画プロセスの目的はどれか。,1,経営事業の目的，目標を達成するために必要なシステム化の方針及びシステムを実現するための実施計画を得る。,作業成果物及びプロセスが，定義された条件及び計画に従っていることを保証する。,発見されたすべての問題を，識別，分析，管理及び制御して，解決することを確実にする。,プロセスによって生成され記録されたシステム又はソフトウェア情報を文書化し，保守する。,平成21年春期 午前問66
共通フレーム2007によれば，システム化計画を立案するときに考慮すべき事項はどれか。,4,運用を考えて，できるだけ自社の社員で開発するよう検討を進める。,失敗を避けるため，同業他社を調査し，同じシステムにする。,情報化の構想，運用マニュアル及び障害対策を具体的に示す。,情報システムの有効性及び投資効果を明確にする。,平成21年春期 午前問65
情報システムの全体計画立案時に策定される業務モデルはどれか。,4,基幹系の機能とそれに必要なデータ項目を定義する。,既存の情報システムとデータベースの関係を定義する。,組織の機能と帳票とを関連付ける。,ビジネスプロセスとデータクラスを関連付ける。,平成21年春期 午前問62
エンタープライズアーキテクチャ(EA)を説明したものはどれか。,3,オブジェクト指向設計を支援する様々な手法を統一して標準化したもので，クラス図などのモデル図によってシステムの分析や設計を行うための技法である。,概念データモデルを，エンティティ，リレーションシップで表現することで，データ構造やデータ項目間の関係を明らかにするための技法である。,各業務と情報システムを，政策・業務体系，データ体系，適用処理体系，技術体系の四つの体系で分析し，全体最適化の観点から見直すための技法である。,企業のビジネスプロセスを，データフロー，プロセス，ファイル，データ源泉／データ吸収の四つの基本要素で抽象化して表現するための技法である。,平成21年春期 午前問61
IT統制を予防統制と発見統制に分類した場合，データ入力の誤りや不正の発見統制に該当するものはどれか。,2,データ入力画面を，操作ミスを起こしにくいように設計する。,データ入力結果の出力リストと入力伝票とを照合する。,データ入力担当者を限定し，アクセス権限を付与する。,データ入力マニュアルを作成し，入力担当者に教育する。,平成21年春期 午前問60
“システム管理基準”の説明はどれか。,3,コンピュータウイルスに対する予防，発見，駆除，復旧などについて実効性の高い対策をとりまとめたもの,コンピュータ不正アクセスによる被害の予防，発見，再発防止などについて，組織及び個人が実行すべき対策をとりまとめたもの,情報戦略を立案し，効果的な情報システム投資とリスクを低減するためのコントロールを適切に整備・運用するための事項をとりまとめたもの,ソフトウェアの違法複製を防止するため，法人，団体などを対象として，ソフトウェアを使用するに当たって実行されるべき事項をとりまとめたもの,平成21年春期 午前問59
システム監査人の役割に関する記述のうち，適切なものはどれか。,1,監査対象から独立かつ専門的な立場から情報システムのコントロールの整備・運用に対する保証又は助言を行う。,計画されたとおりの処理が行われるかどうか，テストを行い，リリースを承認する。,情報システムの性能を評価し，システムの利用者に監査調書を報告する。,情報システムの総合テストで発見された不具合の改善を，テスト担当者に指示する。,平成21年春期 午前問58
