組込みシステムの用途として，適切でないものはどれか。,4,FA機器又は医療機器を制御するシステム,音響，映像機器を制御するシステム,銀行のATM端末システム,列車の座席予約を管理するホストシステム,過去2回出題
デビットカードの決済方式はどれか。,4,後払い方式の決済を行う。,カード内で残高管理を行い，財布のように利用できる。,前払い方式の決済を行う。,利用金額を預金口座から即時に引き落とす。,過去2回出題
TLO(Technology Licensing Organization)法に基づき，承認又は認定された事業者の役割として，適切なものはどれか。,3,企業からの委託研究，又は共同研究を受け入れる窓口として，企業と大学との調整を行う。,研究者からの応募に基づき，補助金を支給して先進的な研究を発展させる。,大学の研究成果を特許化し，又は企業への技術移転を支援し，産学の仲介役を果たす。,民間企業が保有する休眠特許を発掘し，他企業にライセンスして活用を図る。,過去2回出題
競争戦略において，ニッチ戦略の特徴はどれか。,3,市場での地位向上とトップシェア奪取を目標とした差別化戦略の展開を図る。,総市場規模を拡大することでシェアを維持しながら新規需要の獲得を図る。,他社が参入しにくい特定の市場に対して専門化し，高利益率を図る。,リーダの行動を観察し，迅速に模倣することで製品開発などのコスト削減を図る。,過去2回出題
“システム管理基準”の説明はどれか。,3,コンピュータウイルスに対する予防，発見，駆除，復旧などについて実効性の高い対策をとりまとめたもの,コンピュータ不正アクセスによる被害の予防，発見，再発防止などについて，組織及び個人が実行すべき対策をとりまとめたもの,情報戦略を立案し，効果的な情報システム投資とリスクを低減するためのコントロールを適切に整備・運用するための事項をとりまとめたもの,ソフトウェアの違法複製を防止するため，法人，団体などを対象として，ソフトウェアを使用するに当たって実行されるべき事項をとりまとめたもの,過去2回出題
システムの信頼性を比較する目的で稼働率を測定するのに適切な時期はどれか。,1,システムの運用を開始した直後に発生したトラブルが解決されて安定してきた時期,システムの運用を開始した時,システムリリースの可否を判断する時期,長期間のシステム利用を経て，老朽化によるトラブルが増え始めた時期,過去2回出題
ある商品のメーカ別の市場構成比を表すのに適切なグラフはどれか。,2,Zグラフ,帯グラフ,折れ線グラフ,レーダチャート,過去2回出題
データベースサーバを利用したクライアントサーバシステムにおいて，大量のSQL文が発生することによってクライアントとサーバ間の通信負荷が問題となった。このときの解決策として，適切なものはどれか。,2,インデックスの見直し,ストアドプロシージャ機能の利用,データベースの再編成,動的SQLの利用,過去2回出題
プロセッサにおけるパイプライン処理方式を説明したものはどれか。,3,単一の命令を基に，複数のデータに対して複数のプロセッサが同期をとりながら並列にそれぞれのデータを処理する方式,一つのプロセッサにおいて，単一の命令に対する実行時間をできるだけ短くする方式,一つのプロセッサにおいて，複数の命令を少しずつ段階をずらしながら同時実行する方式,複数のプロセッサが，それぞれ独自の命令を基に複数のデータを処理する方式,過去2回出題
電子商取引に使用される，企業間でデータ交換を行う仕組みはどれか。,2,CA,EDI,SSL,XBRL,過去4回出題
CRMを説明したものはどれか。,3,卸売業者・メーカが，小売店の経営活動を支援してその売上と利益を伸ばすことによって，自社との取引拡大につなげる方法である。,企業全体の経営資源を有効かつ総合的に計画して管理し，経営の高効率化を図るための手法である。,企業内のすべての顧客チャネルで情報を共有し，サービスのレベルを引き上げて顧客満足度を高め，顧客ロイヤルティの最適化に結び付ける考え方である。,生産，在庫，購買，販売，物流などのすべての情報をリアルタイムに交換することによって，サプライチェーン全体の効率を大幅に向上させる経営手法である。,過去4回出題
共通フレーム2007によれば，非機能要件に該当するものはどれか。,4,新しい業務の在り方をまとめた上で，業務上実現すべき要件,業務の手順や入出力情報，ルールや制約などの要件,業務要件を実現するために必要なシステムの機能に関する要件,ソフトウェアの信頼性，効率性など品質に関する要件,過去2回出題
監査において発見した問題に対するシステム監査人の責任として，適切なものはどれか。,1,発見した問題を監査依頼者に報告する。,発見した問題をシステムの利用部門に通報する。,発見した問題を被監査部門に是正するよう命じる。,発見した問題を自ら是正する。,過去2回出題
クライアント管理ツールに備わっている機能のうち，業務に無関係なソフトウェアがインストールされていることを検出するのに最も有効なものはどれか。,1,インベントリ収集,遠隔操作,稼働管理機能,ソフトウェア配信,過去3回出題
あるシステムを開発するための工数を見積もったところ150人月であった。現在までの投入工数は60人月で，出来高は全体の3割であり，進捗に遅れが生じている。今後も同じ生産性が続くと想定したとき，このシステムの開発を完了させるためには何人月の工数が超過するか。,1,50,90,105,140,過去2回出題
PCからサーバに対し，IPv6を利用した通信を行う場合，ネットワーク層で暗号化を行うのに利用するものはどれか。,1,IPsec,PPP,SSH,SSL,過去3回出題
システムの品質を向上させるために，発生した障害の原因についてパレート図を用いて分析した。分析結果から分かることはどれか。,3,時系列で見た障害の発生原因と発生件数,システムの規模と，障害の発生件数との相関,障害の主な発生原因と，それらの原因別の発生件数が全体に占める割合,発生した障害と，それに影響を及ばすと思われる原因との関連,過去2回出題
SoC(System on a Chip)の説明として，適切なものはどれか。,3,CPU，チップセット，ビデオチップ，メモリなどコンピュータを構成するための電子回路基板,CPU，メモリ，周辺装置などの間で発生するデータの受渡しを管理する一連の回路群を搭載した半導体チップ,必要とされるすべての機能(システム)を同一プロセスで集積した半導体チップ,プロセスが異なる機能は，個別に最適化されたプロセスで製造し，パッケージ上でそれぞれのチップを適切に配線した半導体チップ,過去2回出題
DRAMの説明として，適切なものはどれか。,1,コンデンサに電荷を蓄えた状態か否かによって1ビットを表現する。主記憶としてよく用いられる。,製造時にデータが書き込まれる。マイクロプログラム格納用メモリとして用いられる。,専用の装置でデータを書き込むことができ，紫外線照射で消去ができる。,フリップフロップで構成され，高速であるが製造コストが高い。キャッシュメモリなどに用いられる。,過去3回出題
CASEツールが提供する機能のうち，上流CASEツールに属するものはどれか。,1,DFDの作成支援,テストデータの作成支援,プログラムの自動生成,ライブラリの管理支援,過去3回出題
USBの説明はどれか。,3,PCに内蔵される CD-ROM装置，DVD装置などを接続するためのパラレルインタフェースである。,磁気ディスク，プリンタなどをデイジーチェーンで接続するパラレルインタフェースである。,ハブを介してツリー状に機器を接続できるシリアルインタフェースである。,プリンタなどに赤外線を使ってデータを転送するシリアルインタフェースである。,過去2回出題
