1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，回線利用率を50% とする。,4,16,32,64,128,平成21年春期 午前問36
プログラムのCPU実行時間が300ミリ秒，入出力時間が600ミリ秒，その他のオーバヘッドが100ミリ秒の場合，ターンアラウンドタイムを半分に改善するには，入出力時間を現在の何倍にすればよいか。,1,1／6,1／4,1／3,1／2,平成21年春期 午前問18
東京～大阪及び東京～名古屋がそれぞれ独立した通信回線で接続されている。東京～大阪の稼働率は 0.9，東京～名古屋の稼働率は 0.8 である。東京～大阪の稼働率を0.95 以上に改善するために，大阪～名古屋にバックアップ回線を新設することを計画している。新設される回線の稼働率は最低限幾ら必要か。,4,0.167,0.205,0.559,0.625,平成21年春期 午前問16
平均命令実行時間が20ナノ秒のコンピュータがある。このコンピュータの性能は何MIPSか。,4,5,10,20,50,平成21年春期 午前問9
0000～4999のアドレスをもつハッシュ表があり，レコードのキー値からアドレスに変換するアルゴリズムとして基数変換法を用いる。キー値が55550のときのアドレスはどれか。ここで，基数変換法とは，キー値を11進数とみなし，10進数に変換した後，下4けたに対して0.5を乗じた結果(小数点以下は切捨て)をレコードのアドレスとする。,1,0260,2525,2775,4405,平成21年春期 午前問2
数値を2進数で格納するレジスタがある。このレジスタに正の整数xを設定した後，"レジスタの値を2ビット左にシフトして，xを加える"操作を行うと，レジスタの値はxの何倍になるか。ここで，あふれ(オーバフロー)は，発生しないものとする。,3,3,4,5,6,平成21年春期 午前問1
あるシステムを開発するための工数を見積もったところ150人月であった。現在までの投入工数は60人月で，出来高は全体の3割であり，進捗に遅れが生じている。今後も同じ生産性が続くと想定したとき，このシステムの開発を完了させるためには何人月の工数が超過するか。,1,50,90,105,140,平成21年秋期 午前問52
IPアドレス 10.1.2.146，サブネットマスク 255.255.255.240 のホストが属するサブネットワークはどれか。,4,10.1.2.132/26,10.1.2.132/28,10.1.2.144/26,10.1.2.144/28,平成21年秋期 午前問39
音声のサンプリングを1秒間に11000回行い，サンプリングした値をそれぞれ8ビットのデータとして記録する。このとき，512×10^6バイトの容量をもつフラッシュメモリに，記録できる音声は最大何分か。,3,77,96,775,969,平成21年秋期 午前問30
オンラインシステムにおいて，1トランザクションの処理に平均60万命令を実行し，平均2回のファイルアクセスが必要であるとき，CPU性能が30MIPSであるコンピュータの1トランザクションの平均処理時間は何ミリ秒か。ここで，ファイルの平均アクセス時間は30ミリ秒とし，当該トランザクション以外の処理は発生しないものとする。,4,8,40,62,80,平成21年秋期 午前問17
500バイトのセクタ8個を1ブロックとして，ブロック単位でファイルの領域を割り当てて管理しているシステムがある。2000バイト及び9000バイトのファイルを保存するとき，これら二つのファイルに割り当てられるセクタ数の合計は幾らか。ここで，ディレクトリなどの管理情報が占めるセクタは考慮しないものとする。,4,22,26,28,32,平成21年秋期 午前問13
空のスタックに対して次の操作を行った場合，スタックに残っているデータはどれか。ここで，“push x”はスタックへデータxを格納し，“pop”はスタックからデータを取り出す操作を表す。     push1→push2→pop→push3→push4→pop→push5→pop,1,1 と 3,2 と 4,2 と 5,4 と 5,平成21年秋期 午前問5
昨年度と今年度の入社試験問題を比較するために，多数の社員に両年度の問題を解答させた。昨年度の問題の得点を ｘ 軸に，今年度の問題の得点を ｙ 軸にとって，相関係数と回帰直線を求めた。〔結果〕から分かることはどれか。     〔結果〕     相関係数は，0.8であった。     回帰直線の傾きは，1.1であった。     回帰直線のy切片の値は，10であった。,3,回帰直線の y切片の値から，今年度の問題の得点が0点の人でも，昨年度の問題では10点程度とれることが分かる。,回帰直線の傾きから，今年度の問題の平均点は，昨年度の問題の平均点の1.1倍であることが分かる。,回帰直線の傾きとy切片の値から，今年度の問題は昨年度の問題に比べて得点しやすい傾向にあることが分かる。,回帰直線の傾きと相関係数の値から，今年度の問題は質が高いことが分かる。,平成22年春期 午前問76
次の条件でITサービスを提供している。SLAを満たすためには，サービス時間帯中の停止時間は1か月に最大で何時間以内であればよいか。ここで，1か月の営業日は30日とする。     〔SLAの条件〕     ・サービス時間帯は営業日の午前6時から翌日午前1時まで。     ・可用性 99.5% 以上とすること。,2,1,2,3,4,平成22年春期 午前問56
プロトタイプを1回作成するごとに未確定な仕様の50%が確定するとき，プロトタイプ開始時点で未確定だった仕様の90%以上を確定させるには，プロトタイプを何回作成する必要があるか。,4,1,2,3,4,平成22年春期 午前問50
ファイルの属性情報として，読取り，書込み，実行の権限を独立に設定できるOSがある。この3種類の権限は，それぞれに1ビットを使って許可，不許可を設定する。この3ビットを8進数表現0～7の数字で設定するとき，次の試行結果から考えて，適切なものはどれか。     〔試行結果〕     ①0を設定したら，読取り，書込み，実行ができなくなってしまった。     ②3を設定したら，読取りと書込みはできたが，実行ができなかった。     ③7を設定したら，読取り，書込み，実行ができるようになった。,2,2を設定すると，読取りと実行ができる。,4を設定すると，実行だけができる。,5を設定すると，書込みだけができる。,6を設定すると，読取りと書込みができる。,平成22年春期 午前問43
クラスCのプライベートIPアドレスとして利用できる範囲はどれか。,4,10.0.0.0～10.255.255.255,128.0.0.0～128.255.255.255,172.16.0.0～172.31.255.255,192.168.0.0～192.168.255.255,平成22年春期 午前問38
あるオンラインリアルタイムシステムでは，20件／秒の頻度でトランザクションが発生する。このトランザクションはCPU処理と4回の磁気ディスク入出力処理を経て終了する。磁気ディスク装置の入出力処理時間は40ミリ秒／回であり，CPU処理時間は十分に短いものとする。それぞれの磁気ディスク装置が均等にアクセスされるとしたとき，このトランザクション処理には最低何台の磁気ディスク装置が必要か。,2,3,4,5,6,平成22年春期 午前問17
回転数が4200回／分で，平均位置決め時間が5ミリ秒の磁気ディスク装置がある。この磁気ディスク装置の平均待ち時間は約何ミリ秒か。ここで，平均待ち時間は，平均位置決め時間と平均回転待ち時間の合計である。,3,7,10,12,14,平成22年春期 午前問12
A＝1，B＝3，C＝5，D＝4，E＝2 のとき，逆ポーランド表記法で表現された式 AB＋CDE／－* の演算結果はどれか。,3,-12,2,12,14,平成22年春期 午前問3
平均命令実行時間が20ナノ秒のコンピュータがある。このコンピュータの性能は何MIPSか。,4,5,10,20,50,平成22年秋期 午前問9
16進小数3A.5Cを10進数の分数で表したものはどれか。,2,939/16,3735/64,14939/256,14941/256,平成22年秋期 午前問1
Javaなどのバイトコードプログラムをインタプリタで実行する方法と，コンパイルしてから実行する方法を，次の条件で比較するとき，およそ何行以上のバイトコードであれば，コンパイル方式の方がインタプリ夕方式よりも処理時間(コンパイル時間も含む)が短くなるか。     〔条件〕     (1):実行時間はプログラムの行数に比例する。     (2):同じ100行のバイトコードのプログラムをインタプリタで実行すると0.2秒掛かり，コンパイルしてから実行すると0.003秒掛かる。     (3):コンパイル時間は100行当たり0.1秒掛かる。     (4):コンパイル方式の場合は，プログラムの行数に関係なくファイル入出力，コンパイラ起動などのために常に0.15秒のオーバヘッドが掛かる。     (5):プログラムファイルのダウンロード時間など，そのほかの時間は無視して考える。,4,50,75,125,155,平成23年特別 午前問23
主記憶のアクセス時間60ナノ秒，キャッシュメモリのアクセス時間10ナノ秒のシステムがある。キャッシュメモリを介して主記憶にアクセスする場合の実効アクセス時間が15ナノ秒であるとき，キャッシュメモリのヒット率は幾らか。,4,0.1,0.17,0.83,0.9,平成23年特別 午前問11
