不正アクセス禁止法において，不正アクセス行為に該当するものはどれか。,4,会社の重要情報にアクセスし得る者が株式発行の決定を知り，情報の公表前に当該会社の株を売買した。,コンピュータウイルスを作成し，他人のコンピュータの画面表示をでたらめにする被害をもたらした。,自分自身で管理運営するホームページに，昨日の新聞に載った報道写真を新聞社に無断で掲載した。,他人の利用者ID，パスワードを許可なく利用して，アクセス制御機能によって制限されているWebサイトにアクセスした。,平成23年特別 午前問80
特許法による保護の対象となるものはどれか。,1,自然法則を利用した技術的思想の創作のうち高度なもの,思想又は感情を創作的に表現したもの,物品の形状，構造又は組合せに係る考案,物品の形状，模様又は色彩など，視覚を通じて美感を起こさせるもの,平成23年特別 午前問79
著作権法に照らして適法な行為はどれか。,2,ある自社製品のパンフレットで使用しているスポーツ選手の写真を，撮影者に無断で，ほかの自社製品のパンフレットに使用する。,経済白書の記載内容を説明の材料として，出所を明示してWebページに転載する。,新聞の写真をスキャナで取り込んで，提案書に記載する。,ユーザ団体の研究会のように限られた対象者に対し，雑誌の記事をコピーして配布する。,平成23年特別 午前問78
売上総利益の計算式はどれか。,1,売上高－売上原価,売上高－売上原価－販売費及び一般管理費,売上高－売上原価－販売費及び一般管理費＋営業外損益,売上高－売上原価－販売費及び一般管理費＋営業外損益＋特別損益,平成23年特別 午前問77
ABC分析を適用する事例はどれか。,2,顧客が買物をしたときの購入商品の組合せを把握したい。,商品ごとの販売金額や粗利益額から，売れ筋商品を把握したい。,商品の品切れを起こさないように，きめ細かな販売見込数量を把握したい。,地域ごとのオピニオンリーダにアンケート調査を行い，市場ニーズを把握したい。,平成23年特別 午前問74
EDIを説明したものはどれか。,3,OSI基本参照モデルに基づく電子メールサービスの国際規格であり，メッセージの生成・転送・処理に関する総合的なサービスである。,ネットワーク内で伝送されるデータを蓄積したり，データのフォーマットを変換したりするサービスなど，付加価値を加えた通信サービスである。,ネットワークを介して，商取引のためのデータをコンピュータ(端末を含む)間で標準的な規約に基づいて交換することである。,発注情報をデータエントリ端末から入力することによって，本部又は仕入先に送信し，発注を行うシステムである。,平成23年特別 午前問72
電子自治体において，GtoBに該当するものはどれか。,2,自治体内で電子決裁や電子公文書管理を行う。,自治体の利用する物品や資材の電子調達，電子入札を行う。,住民基本台帳ネットワークによって，自治体間で住民票データを送受信する。,住民票や戸籍謄本，婚姻届，パスポートなどを電子申請する。,平成23年特別 午前問70
小売業におけるフランチャイズチェーンを説明したものはどれか。,4,卸売業者が主導し，多数の小売業者が自発的に参加して，それぞれの独立性を保ちながら共同化の利点を生かす運営を行う組織形態である。,多数の小売業者が主宰して設立する共同仕入や共同在庫管理，共同商品開発などを行う運営組織形態である。,地域開発事業によって計画的に形成された商業集積地域内に，集中して出店する組織形態である。,本部が加盟店に対し，一定の対価を徴収して商標や標識の使用権を与え，経営指導や援助をして，販売活動をさせる組織形態である。,平成23年特別 午前問69
SFA(Sales Force Automation)の基本機能の一つであるコンタクト管理について説明しているものはどれか。,3,営業担当者からの問合せに対して迅速に回答することによって，営業効率を高める。,顧客への対応を営業担当者が個別に行うのではなく，営業組織全体で行うことによって受注率を向上させる。,顧客訪問日，営業結果などの履歴を管理し，見込客や既存客に対して効果的な営業活動を行う。,個人レベルで蓄積している営業テクニックを洗い出して共有化し，営業部門全体のレベル向上を図る。,平成23年特別 午前問68
SWOT分析を説明したものはどれか。,2,企業の財務諸表を基に，収益性及び安全性を分析する手法である。,経営戦略を立てるために，自社の強みと弱み，機会と脅威を分析する手法である。,自社製品・サービスの市場での位置付けや評価を明らかにする手法である。,自社製品の価格設定のために，市場での競争力を分析する手法である。,平成23年特別 午前問66
