製造物責任法の対象となる制御用ソフトウェアの不具合はどれか。ここで，制御用ソフトウェアはエレベータの制御装置に組み込まれているものとする。,4,エレベータの待ち時間が長くなる原因となった不具合,エレベータの可動部分の交換を早める原因となった不具合,エレベータメーカの出荷作業の遅延の原因となった不具合,人的被害が出たエレベータ事故の原因となった不具合,平成24年春期 午前問80
事業者の取り扱う商品やサービスを，他者の商品やサービスと区別するための文字，図形，記号など(識別標識) を保護する法律はどれか。,2,意匠法,商標法,特許法,著作権法,平成24年春期 午前問79
著作権法によるソフトウェアの保護範囲に関する記述のうち，適切なものはどれか。,4,アプリケーションプログラムは著作権法によって保護されるが，OSなどの基本プログラムは権利の対価がハードウェアの料金に含まれるので，保護されない。,アルゴリズムやプログラム言語は，著作権法によって保護される。,アルゴリズムを記述した文書は著作権法で保護されるが，プログラムは保護されない。,ソースプログラムとオブジェクトプログラムの両方とも著作権法によって保護される。,平成24年春期 午前問78
パレート図を説明したものはどれか。,4,原因と結果の関連を魚の骨のような形態に整理して体系的にまとめ，結果に対してどのような原因が関連しているかを明確にする。,時系列的に発生するデータのばらつきを折れ線グラフで表し，管理限界線を利用して客観的に管理する。,収集したデータを幾つかの区間に分類し，各区間に属するデータの個数を棒グラフとして描き，品質のばらつきを捉える。,データを幾つかの項目に分類し，出現頻度の大きさの順に棒グラフとして並べ，累積和を折れ線グラフで描き，問題点を絞り込む。,平成24年春期 午前問74
ICタグ(RFID)の特徴はどれか。,4,GPSを利用し，受信地の位置情報や属性情報を表示する。,専用の磁気読取り装置に挿入して使用する。,大量の情報を扱うので，情報の記憶には外部記憶装置を使用する。,汚れに強く，記録された情報を梱(こん)包の外から読むことができる。,平成24年春期 午前問73
(1)～(3)の手順に従って処理を行うものはどれか。     (1):今後の一定期間に生産が予定されている製品の種類と数量及び部品構成表を基にして，その構成部品についての必要量を計算する。     (2):引き当て可能な在庫量から各構成部品の正味発注量を計算する。     (3):製造/調達リードタイムを考慮して構成部品の発注時期を決定する。,4,CAD,CRP,JIT,MRP,平成24年春期 午前問71
ワンチップマイコンの内蔵メモリとしてフラッシュメモリが採用されている理由として、適切なものはどれか。,2,ソフトウェアのコードサイズを小さくできる。,マイコン出荷後もソフトウェアの書換えが可能である。,マイコンの処理性能が向上する。,マスク ROM よりも信頼性が向上する。,平成24年春期 午前問70
バランススコアカードの顧客の視点における戦略目標と業績評価指標の例はどれか。,2,持続的成長が目標であるので，受注残を指標とする。,主要顧客との継続的な関係構築が目標であるので，クレーム件数を指標とする。,製品開発力の向上が目標であるので，製品開発領域の研修受講時間を指標とする。,製品の納期遵守が目標であるので，製造期間短縮日数を指標とする。,平成24年春期 午前問69
コアコンピタンス経営を説明したものはどれか。,4,企業内に散在している知識を共有化し，全体の問題解決力を高める経営を行う。,迅速な意思決定のために，組織の階層をできるだけ少なくした平型の組織構造によって経営を行う。,優れた業績を上げている企業との比較分析から，自社の経営革新を行う。,他社にはまねのできない，企業独自のノウハウや技術などの強みを核とした経営を行う。,平成24年春期 午前問68
プロダクトポートフォリオマネジメント(PPM)における“花形”を説明したものはどれか。,1,市場成長率，市場占有率ともに高い製品である。成長に伴う投資も必要とするので，資金創出効果は大きいとは限らない。,市場成長率，市場占有率ともに低い製品である。資金創出効果は小さく，資金流出量も少ない。,市場成長率は高いが，市場占有率が低い製品である。長期的な将来性を見込むことはできるが，資金創出効果の大きさは分からない。,市場成長率は低いが，市場占有率は高い製品である。資金創出効果が大きく，企業の支柱となる資金源である。,平成24年春期 午前問67
サプライチェーンマネジメントの改善指標となるものはどれか。,3,残業時間の減少率,販売単価下落の防止率,不良在庫の減少率,優良顧客数の増加率,平成24年春期 午前問65
