請負契約を締結していても，労働者派遣とみなされる受託者の行為はどれか。,1,休暇取得のルールを発注者側の指示に従って取り決める。,業務の遂行に関する指導や評価を自ら実施する。,勤務に関する規律や職場秩序の保持を実施する。,発注者の業務上の要請を受託者側の責任者が窓口となって受け付ける。,平成25年春期 午前問79
不正競争防止法によって保護される対象として規定されているものはどれか。,3,自然法則を利用した技術的思想の創作のうち高度なものであって，プログラム等を含む物と物を生産する方法,著作物を翻訳し，編曲し，若しくは変形し，又は脚色し，映画化し，その他翻案することにより創作した著作物,秘密として管理されている事業活動に有用な技術上又は営業上の情報であって，公然と知られていないもの,法人等の発意に基づきその法人等の業務に従事する者が職務上作成するプログラム著作物,平成25年春期 午前問78
財務諸表のうち，一定時点における企業の資産，負債及び純資産を表示し，企業の財政状態を明らかにするものはどれか。,4,株主資本等変動計算書,キャッシュフロー計算書,損益計算書,貸借対照表,平成25年春期 午前問77
フィージビリティスタディの説明はどれか。,1,新しい事業やプロジェクトなどの計画に対して，その実行可能性を評価するために調査し，検証することである。,ある一定の役割を演じることによって，技術の習得，行動・価値観の理解，問題解決の能力開発などを促進することである。,演繹(えき)的アプローチによって，目的とする機能を展開して理想システムを描き，現状を理想システムに合うように変えていく手法である。,複数人が集まって，他者の意見を批判せず自由に意見を出し合うことで，アイディアを創出していく手法である。,平成25年春期 午前問75
CIOが経営から求められる役割はどれか。,4,企業経営のための財務戦略の立案と遂行,企業の研究開発方針の立案と実施,企業の法令遵守の体制の構築と運用,ビジネス価値を最大化させるITサービス活用の促進,平成25年春期 午前問74
ソーシャルメディアの説明はどれか。,4,ECサイトが販売する商品を自分のWebページで紹介し，それを見た人が商品を購入した場合，購入額に応じた報酬をECサイトから受け取る仕組み,携帯電話などの位置情報を利用して，周辺の店舗などから利用者に対して，リアルタイムに広告を配信する仕組み,ターゲットとなるキーワードをあらかじめ指定し，そのキーワードが検索に用いられたときに広告が表示される仕組み,利用者同士のつながりを促進することで，インターネットを介して利用者が発信する情報を多数の利用者に幅広く伝播させる仕組み,平成25年春期 午前問73
RFIDを説明したものはどれか。,2,ICカードや携帯電話に保存される貨幣的価値による決済手段のことで，POSレジスタなどで用いられている。,極小の集積回路にアンテナを組み合わせたもので電子荷札に利用され，無線自動認識技術によって対象の識別や位置確認などができる。,縦横のマトリックスに白黒の格子状のパターンで情報を表し，情報量が多く数字だけでなく英字や漢字データも格納できる。,人間の身体的特徴としての生体情報を，個人の識別・認証に利用する技術で，指紋認証，静脈認証などがある。,平成25年春期 午前問72
インターネット上で，一般消費者が買いたい品物とその購入条件を提示し，単数又は複数の売り手がそれに応じる取引形態はどれか。,3,B to B,G to C,逆オークション,バーチャルモール,平成25年春期 午前問71
サプライチェーンマネジメントを説明したものはどれか。,1,購買，生産，販売及び物流を結ぶ一連の業務を，企業間で全体最適の視点から見直し，納期短縮や在庫削減を図る。,個人が持っているノウハウや経験などの知的資産を共有して，創造的な仕事につなげていく。,社員のスキルや行動特性を管理し，人事戦略の視点から適切な人員配置・評価などを行う。,多様なチャネルを通して集められた顧客情報を一元化し，活用することで，顧客との関係を密接にしていく。,平成25年春期 午前問70
企業経営で用いられるコアコンピタンスを説明したものはどれか。,2,企業全体の経営資源の配分を有効かつ統合的に管理し，経営の効率向上を図ることである。,競争優位の源泉となる，他社よりも優越した自社独自のスキルや技術である。,業務プロセスを根本的に考え直し，抜本的にデザインし直すことによって，企業のコスト，品質，サービス，スピードなどを劇的に改善することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,平成25年春期 午前問68
プロダクトポートフォリオマネジメント(PPM)を説明したものはどれか,3,自社の強みと弱み，市場における機会と脅威を，分類ごとに列挙して，事業戦略における企業の環境分析を行う。,製品と市場の視点から，事業拡大の方向性を市場浸透・製品開発・市場開拓・多角化に分けて，戦略を検討する。,製品の市場占有率と市場成長率から，企業がそれぞれの事業に対する経営資源の最適配分を意思決定する。,製品の導入期・成長期・成熟期・衰退期の各段階に応じて，製品の改良，新品種の追加，製品廃棄などを計画する。,平成25年春期 午前問67
グリーン調達の説明はどれか。,4,環境保全活動を実施している企業がその活動内容を広くアピールし，投資家から環境保全のための資金を募ることである。,第三者が一定の基準に基づいて環境保全に資する製品を認定する，エコマークなどの環境表示に関する国際規格のことである。,太陽光，バイオマス，風力，地熱などの自然エネルギーによって発電されたグリーン電力を，市場で取引可能にする証書のことである。,品質や価格の要件を満たすだけでなく，環境負荷の小さい製品やサービスを，環境負荷の低減に努める事業者から優先して購入することである。,平成25年春期 午前問66
非機能要件の定義に該当するものはどれか。,2,業務を構成する機能間の情報(データ)の流れを明確にする。,システム開発で利用する言語に合わせた開発基準，標準を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,平成25年春期 午前問65
ソフトウェアライフサイクルを，企画，要件定義，開発，運用，保守のプロセスに区分したとき，企画プロセスの目的はどれか。,2,新しい業務のあり方や運用をまとめた上で，業務上実現すべき要件を明らかにすること,事業の目的，目標を達成するために必要なシステムに関係する要求事項の集合とシステム化の方針，及びシステムを実現するための実施計画を得ること,システムに関する要件について技術的に可能であるかどうかを検証し，システム設計が可能な技術要件に変換すること,システムの仕様を明確化し，それを基にIT化範囲とその機能を具体的に明示すること,平成25年春期 午前問64
SOAの説明はどれか。,4,売上・利益の増加や，顧客満足度の向上のために，営業活動にITを活用して営業の効率と品質を高める概念のこと,経営資源をコアビジネスに集中させるために，社内業務のうちコアビジネス以外の業務を外部に委託すること,コスト，品質，サービス，スピードを革新的に改善させるために，ビジネスプロセスを抜本的にデザインし直す概念のこと,ソフトウェアの機能をサービスという部品とみなし，そのサービスを組み合わせることでシステムを構築する概念のこと,平成25年春期 午前問63
"システム管理基準"によれば、組織全体の情報システムのあるべき姿を明確にする計画はどれか。,3,開発計画,事業継続計画,全体最適化計画,年間運用計画,平成25年春期 午前問62
情報化投資計画において，投資価値の評価指標であるROIを説明したものはどれか。,1,売上増やコスト削減などによって創出された利益額を投資額で割ったもの,売上高投資金額比，従業員当たりの投資金額などを他社と比較したもの,現金流入の現在価値から，現金流出の現在価値を差し引いたもの,プロジェクトを実施しない場合の，市場での競争力を表したもの,平成25年春期 午前問61
機密性が高い情報を，電子メールを使用して取引先に伝達する方法についての監査で確認した状況のうち，情報漏えい防止の観点から適切なものはどれか。,2,自社の公開Webサイトに当該情報を載せ，取引先に電子メールでそのページのURLを伝えていること,当該情報を記載した添付ファイルにパスワードを設定して，取引先に電子メールを送り，電子メールとは別の手段でパスワードを伝えていること,当該情報を記載した添付ファイルにパスワードを設定して，パスワードを本文に記載した電子メールを取引先に送っていること,取引先に送る電子メールの本文に，当該情報を記載していること,平成25年春期 午前問60
ソフトウェアの資産管理に対する監査のチェックポイントとして，適切なものはどれか。,2,ソフトウェアの提供元の開発体制について考慮しているか。,ソフトウェアのライセンス証書などのエビデンスが保管されているか。,データベースの分割などによって障害の局所化が図られているか。,導入時に既存システムとの整合性を評価しているか。,平成25年春期 午前問59
