労働者派遣における派遣元の責任はどれか。,1,派遣先での時間外労働に関する法令上の届出,派遣労働者に指示する業務の遂行状況の管理,派遣労働者の休日や休憩時間の適切な取得に関する管理,派遣労働者の日々の就業で必要な職場環境の整備,平成26年春期 午前問80
ソフトウェア開発を外部業者へ委託する際に，納品後一定の期間内に発見された不具合を無償で修復してもらう根拠となる項目として，契約書に記載するものはどれか。,1,瑕疵(かし)担保責任,善管注意義務,損害賠償責任,秘密保持義務,平成26年春期 午前問79
特徴(1)～(4)をもつ組織形態はどれか。     (1):戦略的目標を達成するために，必要な専門家を各部門から集めて編成する。     (2):環境の変化に適応する戦略的組織であり，職能部門などから独立している。     (3):所期の目的を達成すれば解散する流動性をもつ。     (4):タスクフォースは，この組織形態に属す。,2,事業部制組織,プロジェクト組織,マトリックス組織,ラインアンドスタッフ組織,平成26年春期 午前問75
携帯電話端末の機能の一つであるテザリングの説明として，適切なものはどれか。,2,携帯電話端末に，異なる通信事業者のSIMカードを挿して使用すること,携帯電話端末をモデム又はアクセスポイントのように用いて，PC，ゲーム機などから，インターネットなどを利用したデータ通信をすること,契約している通信事業者のサービスエリア外でも，他の事業者のサービスによって携帯電話端末を使用すること,通信事業者に申し込むことによって，青少年に有害なサイトなどを携帯電話端末に表示しないようにすること,平成26年春期 午前問74
ロングテールの説明はどれか。,2,Webコンテンツを構成するテキストや画像などのディジタルコンテンツに，統合的・体系的な管理，配信などの必要な処理を行うこと,インターネットショッピングで，売上の全体に対して，あまり売れない商品群の売上合計が無視できない割合になっていること,自分のWebサイトやブログに企業へのリンクを掲載し，他者がこれらのリンクを経由して商品を購入したときに，企業が紹介料を支払うこと,メーカや卸売業者から商品を直接発送することによって，在庫リスクを負うことなく自分のWebサイトで商品が販売できること,平成26年春期 午前問73
他の技法では答えが得られにくい，未来予測のような問題に多く用いられ，(1)～(3)の手順に従って行われる予測技法はどれか。     (1):複数の専門家を回答者として選定する。     (2):質問に対する回答結果を集約してフィードバックし，再度質問を行う。     (3):回答結果を統計的に処理し，分布とともに回答結果を示す。,4,クロスセクション法,シナリオライティング法,親和図法,デルファイ法,平成26年春期 午前問70
ある製品の設定価格と需要の関係が1次式で表せるとき，aに入る適切な数値はどれか。     (1):設定価格を3000円にすると，需要は0個になる。     (2):設定価格を1000円にすると，需要は60000個になる。     (3):設定価格を1500円にすると，需要は "a" 個になる。,4,30000,35000,40000,45000,平成26年春期 午前問69
プロダクトライフサイクルにおける成長期を説明したものはどれか。,1,売上が急激に増加する時期である。市場が活性化し新規参入企業によって競争が激化してくる。,売上と利益が徐々に減少する時期である。追加投資を控えて市場から撤退することが検討される。,需要の伸びが鈍化してくる時期である。製品の品質改良などによって，シェアの維持，利益の確保が行われる。,先進的な消費者に対し製品を販売する時期である。製品の認知度を高める戦略が採られる。,平成26年春期 午前問68
コトラーの競争戦略によると，業界でのシェアは高くないが，特定の製品・サービスに経営資源を集中することで，収益を高め，独自の地位を獲得することを戦略目標とする企業はどれか。,2,マーケットチャレンジャ,マーケットニッチャ,マーケットフォロワ,マーケットリーダ,平成26年春期 午前問67
SCMの目的はどれか。,4,顧客情報や購買履歴，クレームなどを一元管理し，きめ細かな顧客対応を行うことによって，良好な顧客関係の構築を目的とする。,顧客情報や商談スケジュール，進捗状況などの商談状況を一元管理することによって，営業活動の効率向上を目的とする。,生産や販売，在庫，会計など基幹業務のあらゆる情報を統合管理することによって，経営効率の向上を目的とする。,調達から販売までの複数の企業や組織にまたがる情報を統合的に管理することによって，コスト低減や納期短縮などを目的とする。,平成26年春期 午前問66
"システム管理基準"において，情報システムの費用，スケジュール，開発体制，投資効果などを明確にする計画はどれか。,1,開発計画,事業継続計画,全体最適化計画,年間運用計画,平成26年春期 午前問65
