A社がシステム開発を行うに当たり，外部業者B社を利用する場合の契約に関する記述のうち，適切なものはどれか。,1,請負契約によるシステム開発では，特に契約に定めない限り，B社が開発したプログラムの著作権はB社に帰属する。,請負契約，派遣契約によらず，いずれの場合のシステム開発でも，B社にはシステムの完成責任がある。,準委任契約ではB社に成果物の完成責任がないので，A社がB社の従業員に対して直接指揮命令権を行使する。,派遣契約では，開発されたプログラムに重大な欠陥が発生した場合，B社に瑕疵(かし)担保責任がある。,平成28年春期 午前問80
著作権法において，保護の対象とならないものはどれか。,4,インターネットで公開されたフリーソフトウェア,ソフトウェアの操作マニュアル,データベース,プログラム言語や規約,平成28年春期 午前問79
財務諸表のうち，一定時点における企業の資産，負債及び純資産を表示し，企業の財政状態を明らかにするものはどれか。,4,株主資本等変動計算書,キャッシュフロー計算書,損益計算書,貸借対照表,平成28年春期 午前問78
プロジェクト組織を説明したものはどれか。,1,ある問題を解決するために一定の期間に限って結成され，問題解決とともに解散する。,業務を機能別に分け，各機能について部下に命令，指導を行う。,製品，地域などで構成された組織単位に，利益責任をもたせる。,戦略的提携や共同開発など外部の経営資源を積極的に活用するために，企業間にまたがる組織を構成する。,平成28年春期 午前問76
企業経営の透明性を確保するために，企業は誰のために経営を行っているか，トップマネジメントの構造はどうなっているか，組織内部に自浄能力をもっているかなどの視点で，企業活動を監督・監視する仕組みはどれか。,3,コアコンピタンス,コーポレートアイデンティティ,コーポレートガバナンス,ステークホルダアナリシス,平成28年春期 午前問75
ロングテールを説明したものはどれか。,2,一般に80:20という経験則として知られ，企業の売上の80%は全商品の上位20%の売れ筋商品で構成される，又は品質不良による損失額の80%は全不良原因の上位20%の原因に由来する。,インターネットを活用したオンラインショップなどでは，販売機会が少ない商品でもアイテム数を幅広く取りそろえることによって，機会損失のリスクを減らす効果がある。,企業が複数の事業活動を同時に営むことによって，経営資源の共有が可能になり，それを有効に利用することで，それぞれの事業を独立に行っているときよりもコストが相対的に低下する。,ネットワークに加入している者同士が相互にアクセスできる有用性を"ネットワークの価値"とすれば，ネットワークの価値は加入者数の2乗に近似的に比例する。,平成28年春期 午前問74
インターネット上で，一般消費者が買いたい品物とその購入条件を提示し，単数又は複数の売り手がそれに応じる取引形態はどれか。,3,B to B,G to C,逆オークション,バーチャルモール,平成28年春期 午前問73
①～③の手順に従って処理を行うものはどれか。     ①今後の一定期間に生産が予定されている製品の種類と数量及び部品構成表を基にして，その構成部品についての必要量を計算する。     ②引当て可能な在庫量から各構成部品の正味発注量を計算する。     ③製造／調達リードタイムを考慮して構成部品の発注時期を決定する。,4,CAD,CRP,JIT,MRP,平成28年春期 午前問72
ディジタルディバイドを説明したものはどれか。,1,PCや通信などを利用する能力や機会の違いによって，経済的，又は社会的な格差が生じること,インターネットなどを活用することによって，住民が直接，政府や自治体の政策に参画できること,国民の誰もが，地域の格差なく，妥当な料金で平等に利用できる通信及び放送サービスのこと,市民生活のイベント又は企業活動の分野ごとに，すべてのサービスを1か所で提供すること,平成28年春期 午前問71
EMS(Electronics Manufacturing Service)の説明として適切なものはどれか。,4,一般消費者からの家電製品に関する問合せの受付窓口となって電話対応を行う。,製造設備をもたず，製品の企画，設計及び開発を行う。,他メーカから仕入れた電子機器などの販売を専門に行う。,他メーカから受注した電子機器などの受託生産を行う。,平成28年春期 午前問70
