不正競争防止法において，営業秘密となる要件は，"秘密として管理されていること"，"事業活動に有用な技術上又は経営上の情報であること"ともう一つはどれか。,3,営業譲渡が可能なこと,期間が10年を超えないこと,公然と知られていないこと,特許出願をしていること,平成29年春期 午前問80
著作権法によるソフトウェアの保護範囲に関する記述のうち，適切なものはどれか。,4,アプリケーションプログラムは著作権法によって保護されるが，OSなどの基本プログラムは権利の対価がハードウェアの料金に含まれるので，保護されない。,アルゴリズムやプログラム言語は，著作権法によって保護される。,アルゴリズムを記述した文書は著作権法で保護されるが，そのアルゴリズムを用いて作成されたプログラムは保護されない。,ソースプログラムとオブジェクトプログラムの両方とも著作権法によって保護される。,平成29年春期 午前問79
当期の建物の減価償却費を計算すると，何千円になるか。ここで，建物の取得価額は10000千円，前期までの減価償却累計額は3000千円であり，償却方法は定額法，会計期間は1年間，耐用年数は20年とし，残存価額は0円とする。,3,150,350,500,650,平成29年春期 午前問78
キャッシュフロー計算書において，営業活動によるキャッシュフローに該当するものはどれか。,2,株式の発行による収入,商品の仕入れによる支出,短期借入金の返済による支出,有形固定資産の売却による収入,平成29年春期 午前問77
親和図法を説明したものはどれか。,2,事態の進展とともに様々な事象が想定される問題について対応策を検討し，望ましい結果に至るプロセスを定める方法である。,収集した情報を相互の関連によってグループ化し，解決すべき問題点を明確にする方法である。,複雑な要因の絡み合う事象について，その事象間の因果関係を明らかにする方法である。,目的・目標を達成するための手段・方策を順次展開し，最適な手段・方策を追求していく方法である。,平成29年春期 午前問76
会議におけるファシリテータの役割として，適切なものはどれか。,3,技術面や法律面など，自らが専門とする特定の領域の議論に対してだけ，助言を行う。,議長となり，経営層の意向に合致した結論を導き出すように議論をコントロールする。,中立公平な立場から，会議の参加者に発言を促したり，議論の流れを整理したりする。,日程調整・資料準備・議事録作成など，会議運営の事務的作業に特化した支援を行う。,平成29年春期 午前問75
CGM(Consumer Generated Media)の説明はどれか。,2,オークション形式による物品の売買機能を提供することによって，消費者同士の個人売買の仲介役を果たすもの,個人が制作したディジタルコンテンツの閲覧者・視聴者への配信や利用者同士の共有を可能とするもの,個人商店主のオンラインショップを集め，共通ポイントの発行やクレジットカード決済を代行するもの,自社の顧客のうち，希望者をメーリングリストに登録し，電子メールを通じて定期的に情報を配信するもの,平成29年春期 午前問73
"かんばん方式"を説明したものはどれか。,3,各作業の効率を向上させるために，仕様が統一された部品，半製品を調達する。,効率よく部品調達を行うために，関連会社から部品を調達する。,中間在庫を極力減らすために，生産ラインにおいて，後工程が自工程の生産に合わせて，必要な部品を前工程から調達する。,より品質が高い部品を調達するために，部品の納入指定業者を複数定め，競争入札で部品を調達する。,平成29年春期 午前問72
バランススコアカードの学習と成長の視点における戦略目標と業績評価指標の例はどれか。,3,持続的成長が目標であるので，受注残を指標とする。,主要顧客との継続的な関係構築が目標であるので，クレーム件数を指標とする。,製品開発力の向上が目標であるので，製品開発領域の研修受講時間を指標とする。,製品の納期遵守が目標であるので，製造期間短縮日数を指標とする。,平成29年春期 午前問70
アンゾフが提唱した成長マトリクスにおいて，既存市場に対して既存製品で事業拡大する場合の戦略はどれか。,2,市場開発,市場浸透,製品開発,多角化,平成29年春期 午前問69
競争上のポジションで，ニッチャの基本戦略はどれか,3,シェア迫撃などのリーダ攻撃に必要な差別化戦略,市場チャンスに素早く対応する模倣戦略,製品，市場の専門特化を図る特定化戦略,全市場をカバーし，最大シェアを確保する全方位戦略,平成29年春期 午前問68
コアコンピタンスの説明はどれか。,1,企業の活動分野において，競合他社にはまねのできない卓越した能力,経営を行う上で法令や各種規制，社会的規範などを遵守する企業活動,市場・技術・商品(サービス)の観点から設定した，事業の展開領域,組織活動の目的を達成するために行う，業務とシステムの全体最適化手法,平成29年春期 午前問67
企画，要件定義，システム開発，ソフトウェア実装，ハードウェア実装，保守から成る一連のシステム開発プロセスにおいて，要件定義プロセスで実施すべきものはどれか。,2,事業の目的，目標を達成するために必要なシステム化の方針，及びシステムを実現するための実施計画を立案する。,システムに関わり合いをもつ利害関係者の種類を識別し，利害関係者のニーズ，要望及び課せられる制約条件を識別する。,目的とするシステムを得るために，システムの機能及び能力を定義し，システム方式設計によってハードウェア，ソフトウェアなどによる実現方式を確立する。,利害関係者の要件を満足するソフトウェア製品又はソフトウェアサービスを得るための，方式設計と適格性の確認を実施する。,平成29年春期 午前問66
非機能要件の定義で行う作業はどれか。,2,業務を構成する機能間の情報(データ)の流れを明確にする。,システム開発で用いるプログラム言語に合わせた開発基準，標準の技術要件を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,平成29年春期 午前問65
BYOD(Bring Your Own Device)の説明はどれか。,4,会社から貸与された情報機器を常に携行して業務にあたること,会社所有のノートPCなどの情報機器を社外で私的に利用すること,個人所有の情報機器を私的に使用するために利用環境を設定すること,従業員が個人で所有する情報機器を業務のために使用すること,平成29年春期 午前問64
ホスティングサービスの特徴はどれか。,2,運用管理面では，サーバの稼働監視，インシデント対応などを全て利用者が担う。,サービス事業者が用意したサーバの利用権を利用者に貸し出す。,サービス事業者の高性能なサーバを利用者が専有するような使い方には対応しない。,サービス事業者の施設に利用者が独自のサーバを持ち込み，サーバの選定や組合せは自由に行う。,平成29年春期 午前問63
ITサービスをアウトソーシングする際の，システム保守品質・運用品質の低下リスクへの対応策はどれか。,3,アウトソーシング後の自社の人材強化計画の提案を，委託先の選定段階で求め，契約書などにも明文化しておく。,サービス費用の妥当性を検証できるように，サービス別の詳細な料金体系を契約書などで明文化しておく。,サービス品質を示す指標を用い，目標とする品質のレベルを委託先と取り決めた上で，サービス品質の改善活動を進めていく。,システム保守・運用実務などのサービス費用について，査定能力をもつ人材を自社側に確保しておく。,平成29年春期 午前問62
リスクや投資価値の類似性で分けたカテゴリごとの情報化投資について，最適な資源配分を行う手法はどれか。,2,3C分析,ITポートフォリオ,エンタープライズアーキテクチャ,ベンチマーキング,平成29年春期 午前問61
システム監査の実施体制に関する記述のうち，適切なものはどれか。,1,監査依頼者が監査報告に基づく改善指示を行えるように，システム監査人は監査結果を監査依頼者に報告する。,業務監査の一部として情報システムの監査を行う場合には，利用部門のメンバによる監査チームを編成して行う。,システム監査人が他の専門家の支援を受ける場合には，支援の範囲・方法，及び監査結果の判断などは，ほかの専門家の責任において行う。,情報システム部門における開発状況の監査を行う場合には，開発内容を熟知した情報システム部門のメンバによる監査チームを編成して行う。,平成29年春期 午前問60
システムに関わるドキュメントが漏えい，改ざん，不正使用されるリスクに対するコントロールを監査する際のチェックポイントはどれか。,2,システムの変更に伴い，ドキュメントを遅滞なく更新していること,ドキュメントの機密性を確保するための対策を講じていること,ドキュメントの標準化を行っていること,プロトタイプ型開発においても，必要なドキュメントを作成していること,平成29年春期 午前問59
