A社は，B社と著作物の権利に関する特段の取決めをせず，A社の要求仕様に基づいて，販売管理システムのプログラム作成をB社に委託した。この場合のプログラム著作権の原始的帰属はどれか。,4,A社とB社が話し合って決定する。,A社とB社の共有となる。,A社に帰属する。,B社に帰属する。,平成30年春期 午前問79
貸借対照表の純資産の部に表示される項目はどれか。,2,売掛金,資本金,社債,投資有価証券,平成30年春期 午前問77
抜取り検査において，ある不良率のロットがどれだけの確率で合格するかを知ることができるものはどれか。,1,OC曲線,ゴンペルツ曲線,バスタブ曲線,ロジスティック曲線,平成30年春期 午前問76
ABC分析手法の説明はどれか。,3,地域を格子状の複数の区画に分け，様々なデータ(人口，購買力など)に基づいて，より細かに地域分析をする。,何回も同じパネリスト(回答者)に反復調査する。そのデータで地域の傾向や購入層の変化を把握する。,販売金額，粗利益金額などが高い商品から順番に並べ，その累計比率によって商品を幾つかの階層に分け，高い階層に属する商品の販売量の拡大を図る。,複数の調査データを要因ごとに区分し，集計することによって，関連販売力の分析や同一商品の購入状況などを分析する。,平成30年春期 午前問75
ロングテールの説明はどれか。,2,Webコンテンツを構成するテキストや画像などのディジタルコンテンツに，統合的・体系的な管理，配信などの必要な処理を行うこと,インターネットショッピングで，売上の全体に対して，あまり売れない商品群の売上合計が無視できない割合になっていること,自分のWebサイトやブログに企業へのリンクを掲載し，他者がこれらのリンクを経由して商品を購入したときに，企業が紹介料を支払うこと,メーカや卸売業者から商品を直接発送することによって，在庫リスクを負うことなく自分のWebサイトで商品が販売できること,平成30年春期 午前問74
セル生産方式の利点が生かせる対象はどれか。,3,生産性を上げるために，大量生産が必要なもの,製品の仕様が長期間変わらないもの,多種類かつフレキシブルな生産が求められるもの,標準化，単純化，専門化による分業が必要なもの,平成30年春期 午前問73
コンビニエンスストアにおいて，ポイントカードなどの個人情報と結び付けられた顧客ID付きPOSデータを収集・分析することによって確認できるものはどれか。,4,商品の最終的な使用者,商品の店舗までの流通経路,商品を購入する動機,同一商品の購入頻度,平成30年春期 午前問72
IoT(Internet of Things)の実用例として，適切でないものはどれか。,1,インターネットにおけるセキュリティの問題を回避する目的で，サーバに接続せず，単独でファイルの管理，演算処理，印刷処理などの作業を行うコンピュータ,大型の機械などにセンサと通信機能を内蔵して，稼働状況，故障箇所，交換が必要な部品などを，製造元がインターネットを介してリアルタイムに把握できるシステム,検針員に代わって，電力会社と通信して電力使用量を送信する電力メータ,自動車同士及び自動車と路側機が通信することによって，自動車の位置情報をリアルタイムに収集して，渋滞情報を配信するシステム,平成30年春期 午前問71
ナレッジマネジメントを説明したものはどれか。,1,企業内に散在している知識を共有化し，全体の問題解決力を高める経営を行う。,迅速な意思決定のために，組織の階層をできるだけ少なくしたフラット型の組織構造によって経営を行う。,優れた業績を上げている企業との比較分析から，自社の経営革新を行う。,他社にはまねのできない，企業独自のノウハウや技術などの強みを核とした経営を行う。,平成30年春期 午前問70
コストプラス価格決定法を説明したものはどれか。,3,買い手が認める品質や価格をリサーチし，訴求力のある価格を決定する。,業界の平均水準や競合企業の設定価格を参考に，競争力のある価格を決定する。,製造原価又は仕入原価に一定のマージンを乗せて価格を決定する。,目標販売量を基に，総費用吸収後に一定の利益率を確保できる価格を決定する。,平成30年春期 午前問69
プロダクトライフサイクルにおける成熟期の特徴はどれか。,2,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成30年春期 午前問68
企業経営におけるニッチ戦略はどれか。,2,キャッシュフローの重視,市場の特定化,垂直統合,リードタイムの短縮,平成30年春期 午前問66
国や地方公共団体などが，環境への配慮を積極的に行っていると評価されている製品・サービスを選んでいる。この取組みを何というか。,4,CSR,エコマーク認定,環境アセスメント,グリーン購入,平成30年春期 午前問65
UMLをビジネスモデリングに用いる場合，ビジネスプロセスの実行順序や条件による分岐などのワークフローを表すことができる図はどれか。,1,アクティビティ図,オブジェクト図,クラス図,コンポーネント図,平成30年春期 午前問64
ビッグデータ活用の発展過程を次の4段階に分類した場合，第4段階に該当する活用事例はどれか。     〔ビッグデータ活用の発展段階〕     第1段階:過去や現在の事実の確認(どうだったのか)     第2段階:過去や現在の状況の解釈(どうしてそうだったのか)     第3段階:将来生じる可能性がある事象の予測(どうなりそうなのか)     第4段階:将来の施策への展開(どうしたら良いのか),3,製品のインターネット接続機能を用いて，販売後の製品からの多数の利用者による操作履歴をビッグデータに蓄積し，機能の使用割合を明らかにする。,多数の利用者による操作履歴が蓄積されたビッグデータの分析結果を基に，当初，メーカが想定していなかった利用者の誤操作とその原因を見つけ出す。,ビッグデータを基に，利用者の誤操作の原因と，それによる故障率の増加を推定し，利用者の誤操作を招きにくいユーザインタフェースに改良する。,利用者の誤操作が続いた場合に想定される製品の故障率の増加を，ビッグデータを用いたシミュレーションで推定する。,平成30年春期 午前問63
