インターネットで利用される技術の標準化を図り，技術仕様をRFCとして策定している組織はどれか。,3,ANSI,IEEE,IETF,NIST,平成31年春期 午前問80
著作者人格権に該当するものはどれか。,4,印刷，撮影，複写などの方法によって著作物を複製する権利,公衆からの要求に応じて自動的にサーバから情報を送信する権利,著作物の複製物を公衆に貸し出す権利,自らの意思に反して著作物を変更，切除されない権利,平成31年春期 午前問79
社内カンパニー制を説明したものはどれか。,4,1部門を切り離して別会社として独立させ，機動力のある多角化戦略を展開する。,合併，買収によって，自社にない経営資源を相手企業から得て，スピーディな戦略展開を図る。,時間を掛けて研究・開発を行い，その成果を経営戦略の基礎とする。,事業分野ごとの仮想企業を作り，経営資源配分の効率化，意思決定の迅速化，創造性の発揮を促進する。,平成31年春期 午前問76
企業が社会的責任を果たすために実施すべき施策のうち，環境対策の観点から実施するものはどれか。,2,株主に対し，企業の経営状況の透明化を図る。,グリーン購入に向けて社内体制を整備する。,災害時における従業員のボランティア活動を支援する制度を構築する。,社内に倫理ヘルプラインを設置する。,平成31年春期 午前問75
ディジタルサイネージの説明として，適切なものはどれか。,3,情報技術を利用する機会又は能力によって，地域間又は個人間に生じる経済的又は社会的な格差,情報の正当性を保証するために使用される電子的な署名,ディスプレイに映像，文字などの情報を表示する電子看板,不正利用を防止するためにデータに識別情報を埋め込む技術,平成31年春期 午前問74
シェアリングエコノミーの説明はどれか。,4,ITの活用によって経済全体の生産性が高まり，更にSCMの進展によって需給ギャップが解消されるので，インフレなき成長が持続するという概念である。,ITを用いて，再生可能エネルギーや都市基盤の効率的な管理・運営を行い，人々の生活の質を高め，継続的な経済発展を実現するという概念である。,商取引において，実店舗販売とインターネット販売を組み合わせ，それぞれの長所を生かして連携させることによって，全体の売上を拡大する仕組みである。,ソーシャルメディアのコミュニティ機能などを活用して，主に個人同士で，個人が保有している遊休資産を共有したり，貸し借りしたりする仕組みである。,平成31年春期 午前問73
CGM(Consumer Generated Media)の例はどれか。,4,企業が，経営状況や財務状況，業績動向に関する情報を，個人投資家向けに公開する自社のWebサイト,企業が，自社の商品の特徴や使用方法に関する情報を，一般消費者向けに発信する自社のWebサイト,行政機関が，政策，行政サービスに関する情報を，一般市民向けに公開する自組織のWebサイト,個人が，自らが使用した商品などの評価に関する情報を，不特定多数に向けて発信するブログやSNSなどのWebサイト,平成31年春期 午前問72
IoTの応用事例のうち，HEMSの説明はどれか。,4,工場内の機械に取り付けたセンサで振動，温度，音などを常時計測し，収集したデータを基に機械の劣化状態を分析して，適切なタイミングで部品を交換する。,自動車に取り付けたセンサで車両の状態，路面状況などのデータを計測し，ネットワークを介して保存し分析することによって，効率的な運転を支援する。,情報通信技術や環境技術を駆使して，街灯などの公共設備や交通システムをはじめとする都市基盤のエネルギーの可視化と消費の最適制御を行う。,太陽光発電装置などのエネルギー機器，家電機器，センサ類などを家庭内通信ネットワークに接続して，エネルギーの可視化と消費の最適制御を行う。,平成31年春期 午前問71
プロセスイノベーションに関する記述として，適切なものはどれか。,2,競争を経て広く採用され，結果として事実上の標準となる。,製品の品質を向上する革新的な製造工程を開発する。,独創的かつ高い技術を基に革新的な新製品を開発する。,半導体の製造プロセスをもっている企業に製造を委託する。,平成31年春期 午前問70
サイトアクセス者の総人数に対して，最終成果である商品やサービスの購入に至る人数の割合を高める目的でショッピングサイトの画面デザインを見直すことにした。効果を測るために，見直し前後で比較すべき，効果を直接示す値はどれか。,2,ROAS(Return On Advertising Spend),コンバージョン率,バナー広告のクリック率,ページビュー,平成31年春期 午前問69
特定顧客，特定製品のセグメントに資源を集中し，専門化を図る戦略はどれか。,2,チャレンジャ戦略,ニッチ戦略,フォロワ戦略,リーダー戦略,平成31年春期 午前問68
企業経営で用いられるコアコンピタンスを説明したものはどれか。,2,企業全体の経営資源の配分を有効かつ統合的に管理し，経営の効率向上を図ることである。,競争優位の源泉となる，他社よりも優越した自社独自のスキルや技術などの強みである。,業務プロセスを根本的に考え直し，抜本的にデザインし直すことによって，企業のコスト，品質，サービス，スピードなどを劇的に改善することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,平成31年春期 午前問67
非機能要件項目はどれか。,4,新しい業務の在り方や運用に関わる業務手順，入出力情報，組織，責任，権限，業務上の制約などの項目,新しい業務の遂行に必要なアプリケーションシステムに関わる利用者の作業，システム機能の実現範囲，機能間の情報の流れなどの項目,経営戦略や情報戦略に関わる経営上のニーズ，システム化・システム改善を必要とする業務上の課題，求められる成果・目標などの項目,システム基盤に関わる可用性，性能，拡張性，運用性，保守性，移行性などの項目,平成31年春期 午前問66
BI(Business Intelligence)の活用事例として，適切なものはどれか。,2,競合する他社が発行するアニュアルレポートなどの刊行物を入手し，経営戦略や財務状況を把握する。,業績の評価や経営戦略の策定を行うために，業務システムなどに蓄積された膨大なデータを分析する。,電子化された学習教材を社員がネットワーク経由で利用することを可能にし，学習・成績管理を行う。,りん議や決裁など，日常の定型的業務を電子化することによって，手続を確実に行い，処理を迅速にする。,平成31年春期 午前問63
オンデマンド型のサービスはどれか。,4,インターネットサイトで購入したDVDで視聴する映画,出版社が部数を決めてオフセット印刷した文庫本,定期的に決められたスケジュールでスマートフォンに配信されるインターネットニュース,利用者の要求に応じてインターネット上で配信される再放送のドラマ,平成31年春期 午前問62
エンタープライズアーキテクチャを構成するアプリケーションアーキテクチャについて説明したものはどれか。,2,業務に必要なデータの内容，データ間の関連や構造などを体系的に示したもの,業務プロセスを支援するシステムの機能や構成などを体系的に示したもの,情報システムの構築・運用に必要な技術的構成要素を体系的に示したもの,ビジネス戦略に必要な業務プロセスや情報の流れを体系的に示したもの,平成31年春期 午前問61
A社では，自然災害などの際の事業継続を目的として，業務システムのデータベースのバックアップを取得している。その状況について，"情報セキュリティ管理基準(平成28年)"に従って実施した監査結果として判明した状況のうち，監査人が指摘事項として監査報告書に記載すべきものはどれか。,4,バックアップ取得手順書を作成し，取得担当者を定めていた。,バックアップを取得した電子記録媒体からデータベースを復旧する試験を，事前に定めたスケジュールに従って実施していた。,バックアップを取得した電子記録媒体を，機密保持を含む契約を取り交わした外部の倉庫会社に委託保管していた。,バックアップを取得した電子記録媒体を，業務システムが稼働しているサーバの近くで保管していた。,平成31年春期 午前問60
経営者が社内のシステム監査人の外観上の独立性を担保とするために講じる措置として，最も適切なものはどれか。,4,システム監査人にITに関する継続的学習を義務付ける。,システム監査人に必要な知識や経験を定めて公表する。,システム監査人の監査技法研修制度を設ける。,システム監査人の所属部署を内部監査部門とする。,平成31年春期 午前問59
システム監査人がインタビュー実施時にすべきことのうち，最も適切なものはどれか。,1,インタビューで監査対象部門から得た情報を裏付けるための文書や記録を入手するよう努める。,インタビューの中で気が付いた不備事項について，その場で監査対象部門に改善を指示する。,監査対象部門内の監査業務を経験したことのある管理者をインタビューの対象者として選ぶ。,複数の監査人でインタビューを行うと記録内容に相違が出ることがあるので，1人の監査人が行う。,平成31年春期 午前問58
ディスク障害時に，フルバックアップを取得してあるテープからディスクにデータを復元した後，フルバックアップ取得時以降の更新後コピーをログから反映させてデータベースを回復する方法はどれか。,4,チェックポイントリスタート,リブート,ロールバック,ロールフォワード,平成31年春期 午前問57
